RT,trial,run,task,deltaPed,coherence,contrast,trialNum,correct,lAvgCon,rAvgCon,lAvgCoh,rAvgCoh,side,direction,conPedestal,cohPedestal,isCatch
0.1356,1,4,2,0.3,0.125,0.60653,1,1,0.60653,0.76272,0.125,0.125,2,-1,4,2,0
0.26106,2,4,2,0.051,0.05,0.17377,2,1,0.20033,0.17377,0.05,0.05,1,1,1,1,0
0.07185,3,4,2,0.034333,0.45,0.39985,3,1,0.39985,0.41772,0.45,0.45,2,1,3,4,0
0.43085,4,4,1,0.21225,0.45,0.60653,4,1,0.60653,0.60653,0.5605,0.45,1,-1,4,4,1
0.048803,5,4,2,0.001,0.45,0.39985,5,0,0.40037,0.39985,0.45,0.45,1,1,3,4,0
0.25679,6,4,1,0.21225,0.25,0.39985,6,0,0.39985,0.39985,0.3605,0.25,1,1,3,3,1
0.28637,7,4,2,0.051,0.25,0.17377,7,1,0.20033,0.17377,0.25,0.25,1,-1,1,3,0
0.25394,8,4,2,0.26667,0.125,0.60653,8,0,0.60653,0.74537,0.125,0.125,2,1,4,2,0
0.25464,9,4,2,0.051,0.45,0.17377,9,1,0.20033,0.17377,0.45,0.45,1,1,1,4,0
0.10006,10,4,2,0.13333,0.25,0.2636,10,1,0.2636,0.33301,0.25,0.25,2,-1,2,3,0
0.21798,11,4,2,0.017667,0.25,0.39985,11,0,0.40905,0.39985,0.25,0.25,1,1,3,3,0
0.040195,12,4,2,0.042667,0.125,0.17377,12,1,0.17377,0.19599,0.125,0.125,2,1,1,2,0
0.1295,13,4,1,0.30119,0.05,0.39985,13,0,0.39985,0.39985,0.20681,0.05,1,1,3,1,1
-0.024841,14,4,2,0.034333,0.125,0.39985,14,1,0.41772,0.39985,0.125,0.125,1,-1,3,2,0
-0.011023,15,4,2,0.28333,0.45,0.60653,15,1,0.75404,0.60653,0.45,0.45,1,-1,4,4,0
0.42327,16,4,2,0.28333,0.125,0.60653,16,0,0.60653,0.75404,0.125,0.125,2,1,4,2,0
0.47557,17,4,2,0.3,0.25,0.60653,17,1,0.60653,0.76272,0.25,0.25,2,-1,4,3,0
0.2389,18,4,2,0.034333,0.45,0.39985,18,1,0.39985,0.41772,0.45,0.45,2,1,3,4,0
-0.011887,19,4,2,0.3,0.25,0.60653,19,1,0.60653,0.76272,0.25,0.25,2,-1,4,3,0
0.4174,20,4,1,0.42741,0.25,0.60653,20,0,0.60653,0.60653,0.25,0.47252,2,1,4,3,1
0.32499,21,4,2,0.042667,0.05,0.17377,21,0,0.17377,0.19599,0.05,0.05,2,-1,1,1,0
0.23795,22,4,2,0.3,0.125,0.60653,22,1,0.76272,0.60653,0.125,0.125,1,-1,4,2,0
0.24963,23,4,2,0.034333,0.45,0.39985,23,1,0.41772,0.39985,0.45,0.45,1,1,3,4,0
0.19192,24,4,2,0.13333,0.25,0.2636,24,1,0.2636,0.33301,0.25,0.25,2,1,2,3,0
0.19638,25,4,2,0.046833,0.25,0.17377,25,1,0.19816,0.17377,0.25,0.25,1,-1,1,3,0
0.62205,26,4,1,0.42741,0.125,0.2636,26,1,0.2636,0.2636,0.125,0.34752,2,-1,2,2,1
0.3779,27,4,2,0.026,0.25,0.39985,27,1,0.41339,0.39985,0.25,0.25,1,-1,3,3,0
0.15349,28,4,2,0.026,0.45,0.39985,28,1,0.39985,0.41339,0.45,0.45,2,1,3,4,0
0.41581,29,4,2,0.29167,0.05,0.60653,29,1,0.75838,0.60653,0.05,0.05,1,-1,4,1,0
0.39307,30,4,2,0.066667,0.05,0.2636,30,1,0.29831,0.2636,0.05,0.05,1,1,2,1,0
0.24559,31,4,2,0.066667,0.45,0.2636,31,1,0.29831,0.2636,0.45,0.45,1,-1,2,4,0
0.82548,32,4,2,0.29167,0.25,0.60653,32,1,0.60653,0.75838,0.25,0.25,2,1,4,3,0
0.54875,33,4,2,0.066667,0.05,0.2636,33,0,0.29831,0.2636,0.05,0.05,1,1,2,1,0
0.14072,34,4,1,0.42741,0.125,0.17377,34,0,0.17377,0.17377,0.125,0.34752,2,-1,1,2,1
0.14716,35,4,2,0.026,0.05,0.39985,35,1,0.39985,0.41339,0.05,0.05,2,-1,3,1,0
0.0046823,36,4,2,0.046833,0.45,0.17377,36,1,0.17377,0.19816,0.45,0.45,2,1,1,4,0
0.27252,37,4,2,0.1,0.125,0.2636,37,1,0.31566,0.2636,0.125,0.125,1,1,2,2,0
0.3419,38,4,2,0.29167,0.05,0.60653,38,1,0.60653,0.75838,0.05,0.05,2,-1,4,1,0
0.080952,39,4,2,0.046833,0.05,0.17377,39,1,0.17377,0.19816,0.05,0.05,2,-1,1,1,0
0.16931,40,4,2,0.28333,0.25,0.60653,40,1,0.75404,0.60653,0.25,0.25,1,1,4,3,0
0.12522,41,4,2,0.04475,0.25,0.17377,41,1,0.17377,0.19707,0.25,0.25,2,1,1,3,0
0.37835,42,4,2,0.1,0.45,0.2636,42,1,0.31566,0.2636,0.45,0.45,1,-1,2,4,0
0.50368,43,4,2,0.1,0.45,0.2636,43,1,0.31566,0.2636,0.45,0.45,1,1,2,4,0
0.080936,44,4,2,0.04475,0.125,0.17377,44,1,0.19707,0.17377,0.125,0.125,1,1,1,2,0
NaN,45,4,1,0.30119,0.05,0.2636,45,NaN,0.2636,0.2636,0.05,0.20681,2,-1,2,1,1
