RT,trial,run,task,deltaPed,coherence,contrast,trialNum,correct,lAvgCon,rAvgCon,lAvgCoh,rAvgCoh,side,direction,conPedestal,cohPedestal,isCatch
0.15401,1,5,1,0.36458,0.25,0.17377,1,1,0.17377,0.17377,0.25,0.43981,2,-1,1,3,0
0.37446,2,5,2,0.067206,0.25,0.39985,2,0,0.43484,0.39985,0.25,0.25,1,1,3,3,1
0.25592,3,5,1,0.101,0.125,0.60653,3,0,0.60653,0.60653,0.125,0.17758,2,1,4,2,0
0.2684,4,5,1,0.5,0.45,0.17377,4,1,0.17377,0.17377,0.45,0.71031,2,1,1,4,0
0.16336,5,5,1,0.16667,0.05,0.39985,5,1,0.39985,0.39985,0.05,0.13677,2,1,3,1,0
-0.016351,6,5,2,0.090718,0.25,0.17377,6,1,0.17377,0.221,0.25,0.25,2,1,1,3,1
0.77555,7,5,2,0.067206,0.05,0.17377,7,0,0.20876,0.17377,0.05,0.05,1,-1,1,1,1
0.19413,8,5,1,0.126,0.125,0.2636,8,1,0.2636,0.2636,0.1906,0.125,1,1,2,2,0
0.1369,9,5,1,0.36458,0.25,0.39985,9,1,0.39985,0.39985,0.25,0.43981,2,-1,3,3,0
-0.014308,10,5,1,0.36458,0.25,0.60653,10,1,0.60653,0.60653,0.43981,0.25,1,1,4,3,0
0.35951,11,5,1,0.126,0.125,0.60653,11,1,0.60653,0.60653,0.125,0.1906,2,-1,4,2,0
0.22907,12,5,2,0.090718,0.05,0.39985,12,1,0.39985,0.44708,0.05,0.05,2,-1,3,1,1
0.16229,13,5,1,0.126,0.125,0.60653,13,1,0.60653,0.60653,0.1906,0.125,1,-1,4,2,0
0.38201,14,5,1,0.5,0.45,0.2636,14,0,0.2636,0.2636,0.45,0.71031,2,1,2,4,0
0.22297,15,5,1,0.16667,0.05,0.39985,15,1,0.39985,0.39985,0.13677,0.05,1,-1,3,1,0
0.078867,16,5,1,0.35938,0.25,0.39985,16,1,0.39985,0.39985,0.4371,0.25,1,-1,3,3,0
0.20537,17,5,1,0.35938,0.25,0.2636,17,1,0.2636,0.2636,0.25,0.4371,2,1,2,3,0
0.54394,18,5,2,0.067206,0.05,0.2636,18,1,0.29859,0.2636,0.05,0.05,1,-1,2,1,1
0.59742,19,5,1,0.5,0.45,0.17377,19,0,0.17377,0.17377,0.71031,0.45,1,1,1,4,0
0.32745,20,5,2,0.12246,0.45,0.2636,20,1,0.2636,0.32735,0.45,0.45,2,1,2,4,1
0.41564,21,5,1,0.35938,0.25,0.17377,21,1,0.17377,0.17377,0.4371,0.25,1,-1,1,3,0
0.54877,22,5,2,0.12246,0.125,0.60653,22,0,0.67029,0.60653,0.125,0.125,1,1,4,2,1
0.16899,23,5,1,0.5,0.45,0.2636,23,1,0.2636,0.2636,0.45,0.71031,2,-1,2,4,0
0.10787,24,5,1,0.083333,0.05,0.17377,24,1,0.17377,0.17377,0.05,0.093386,2,-1,1,1,0
0.27946,25,5,1,0.35417,0.25,0.39985,25,0,0.39985,0.39985,0.43439,0.25,1,1,3,3,0
0.40676,26,5,1,0.1135,0.125,0.2636,26,0,0.2636,0.2636,0.18409,0.125,1,-1,2,2,0
1.0601,27,5,2,0.049787,0.25,0.60653,27,1,0.60653,0.63245,0.25,0.25,2,1,4,3,1
0.091732,28,5,1,0.083333,0.05,0.2636,28,1,0.2636,0.2636,0.05,0.093386,2,-1,2,1,0
0.40886,29,5,1,0.11975,0.125,0.60653,29,1,0.60653,0.60653,0.18735,0.125,1,1,4,2,0
0.14623,30,5,1,0.5,0.45,0.17377,30,1,0.17377,0.17377,0.45,0.71031,2,1,1,4,0
0.24474,31,5,1,0.5,0.45,0.17377,31,1,0.17377,0.17377,0.45,0.71031,2,-1,1,4,0
0.3569,32,5,1,0.11975,0.125,0.39985,32,1,0.39985,0.39985,0.125,0.18735,2,1,3,2,0
0.55729,33,5,1,0.35677,0.25,0.39985,33,1,0.39985,0.39985,0.43575,0.25,1,-1,3,3,0
0.025658,34,5,1,0.11975,0.125,0.60653,34,0,0.60653,0.60653,0.18735,0.125,1,1,4,2,0
0.13245,35,5,2,0.090718,0.45,0.2636,35,0,0.31083,0.2636,0.45,0.45,1,1,2,4,1
0.3521,36,5,1,0.083333,0.05,0.60653,36,0,0.60653,0.60653,0.093386,0.05,1,-1,4,1,0
0.13388,37,5,1,0.126,0.125,0.2636,37,1,0.2636,0.2636,0.1906,0.125,1,-1,2,2,0
-0.02815,38,5,1,0.45833,0.45,0.17377,38,1,0.17377,0.17377,0.68862,0.45,1,1,1,4,0
0.036556,39,5,1,0.126,0.125,0.17377,39,1,0.17377,0.17377,0.125,0.1906,2,-1,1,2,0
0.036417,40,5,1,0.35677,0.25,0.39985,40,1,0.39985,0.39985,0.43575,0.25,1,1,3,3,0
0.094931,41,5,1,0.45833,0.45,0.39985,41,0,0.39985,0.39985,0.45,0.68862,2,1,3,4,0
0.30251,42,5,1,0.47917,0.45,0.17377,42,1,0.17377,0.17377,0.69947,0.45,1,-1,1,4,0
-0.00063947,43,5,2,0.090718,0.45,0.2636,43,1,0.2636,0.31083,0.45,0.45,2,-1,2,4,1
0.2099,44,5,1,0.125,0.05,0.60653,44,1,0.60653,0.60653,0.11508,0.05,1,1,4,1,0
-0.0099992,45,5,1,0.126,0.125,0.17377,45,1,0.17377,0.17377,0.125,0.1906,2,1,1,2,0
NaN,46,5,1,0.35677,0.25,0.2636,46,NaN,0.2636,0.2636,0.43575,0.25,1,-1,2,3,0
