RT,trial,run,task,deltaPed,coherence,contrast,trialNum,correct,lAvgCon,rAvgCon,lAvgCoh,rAvgCoh,side,direction,conPedestal,cohPedestal,isCatch
0.12368,1,3,1,0.375,0.25,0.2636,1,1,0.2636,0.2636,0.25,0.44524,2,-1,2,3,0
0.47483,2,3,2,0.090718,0.125,0.2636,2,1,0.31083,0.2636,0.125,0.125,1,-1,2,2,1
0.28948,3,3,2,0.049787,0.25,0.60653,3,0,0.63245,0.60653,0.25,0.25,1,-1,4,3,1
0.18693,4,3,1,0.375,0.25,0.60653,4,1,0.60653,0.60653,0.25,0.44524,2,-1,4,3,0
0.21272,5,3,1,0.16667,0.05,0.60653,5,1,0.60653,0.60653,0.13677,0.05,1,-1,4,1,0
0.14908,6,3,1,0.5,0.45,0.39985,6,1,0.39985,0.39985,0.45,0.71031,2,-1,3,4,0
0.030778,7,3,1,0.5,0.45,0.17377,7,1,0.17377,0.17377,0.71031,0.45,1,-1,1,4,0
0.46029,8,3,1,0.47917,0.45,0.60653,8,1,0.60653,0.60653,0.45,0.69947,2,-1,4,4,0
0.36293,9,3,1,0.16667,0.05,0.60653,9,1,0.60653,0.60653,0.05,0.13677,2,-1,4,1,0
0.16048,10,3,1,0.16667,0.05,0.2636,10,0,0.2636,0.2636,0.13677,0.05,1,-1,2,1,0
0.25286,11,3,1,0.47917,0.45,0.2636,11,0,0.2636,0.2636,0.69947,0.45,1,-1,2,4,0
0.14643,12,3,1,0.375,0.25,0.60653,12,0,0.60653,0.60653,0.44524,0.25,1,-1,4,3,0
0.13774,13,3,1,0.48958,0.45,0.17377,13,1,0.17377,0.17377,0.45,0.70489,2,1,1,4,0
0.032301,14,3,1,0.39583,0.25,0.39985,14,1,0.39985,0.39985,0.25,0.45608,2,1,3,3,0
0.4323,15,3,1,0.25,0.05,0.17377,15,1,0.17377,0.17377,0.05,0.18016,2,-1,1,1,0
0.10604,16,3,1,0.39583,0.25,0.2636,16,1,0.2636,0.2636,0.25,0.45608,2,1,2,3,0
-0.01991,17,3,2,0.049787,0.125,0.39985,17,1,0.39985,0.42577,0.125,0.125,2,-1,3,2,1
0.075914,18,3,1,0.25,0.05,0.60653,18,1,0.60653,0.60653,0.18016,0.05,1,-1,4,1,0
0.18111,19,3,1,0.16667,0.125,0.2636,19,1,0.2636,0.2636,0.21177,0.125,1,-1,2,2,0
0.59543,20,3,2,0.067206,0.125,0.60653,20,0,0.64152,0.60653,0.125,0.125,1,-1,4,2,1
0.17988,21,3,1,0.25,0.05,0.39985,21,1,0.39985,0.39985,0.18016,0.05,1,-1,3,1,0
0.12782,22,3,2,0.090718,0.05,0.17377,22,0,0.221,0.17377,0.05,0.05,1,-1,1,1,1
0.25524,23,3,1,0.16667,0.125,0.60653,23,1,0.60653,0.60653,0.21177,0.125,1,-1,4,2,0
-0.031492,24,3,1,0.39583,0.25,0.39985,24,1,0.39985,0.39985,0.45608,0.25,1,-1,3,3,0
0.31578,25,3,1,0.001,0.125,0.60653,25,0,0.60653,0.60653,0.12552,0.125,1,1,4,2,0
0.29752,26,3,1,0.101,0.125,0.39985,26,0,0.39985,0.39985,0.17758,0.125,1,1,3,2,0
0.12366,27,3,1,0.38542,0.25,0.60653,27,1,0.60653,0.60653,0.25,0.45066,2,-1,4,3,0
0.59226,28,3,1,0.201,0.125,0.39985,28,1,0.39985,0.39985,0.22965,0.125,1,-1,3,2,0
0.36505,29,3,1,0.20833,0.05,0.2636,29,1,0.2636,0.2636,0.15846,0.05,1,-1,2,1,0
0.52059,30,3,1,0.38542,0.25,0.39985,30,1,0.39985,0.39985,0.25,0.45066,2,-1,3,3,0
0.27578,31,3,2,0.067206,0.25,0.60653,31,1,0.64152,0.60653,0.25,0.25,1,-1,4,3,1
0.32467,32,3,1,0.48958,0.45,0.17377,32,0,0.17377,0.17377,0.45,0.70489,2,1,1,4,0
0.13101,33,3,2,0.090718,0.125,0.60653,33,0,0.65376,0.60653,0.125,0.125,1,1,4,2,1
0.25445,34,3,1,0.201,0.125,0.2636,34,1,0.2636,0.2636,0.125,0.22965,2,1,2,2,0
0.30976,35,3,1,0.201,0.125,0.39985,35,1,0.39985,0.39985,0.22965,0.125,1,-1,3,2,0
0.13306,36,3,1,0.20833,0.05,0.2636,36,1,0.2636,0.2636,0.15846,0.05,1,1,2,1,0
0.1165,37,3,1,0.151,0.125,0.60653,37,1,0.60653,0.60653,0.125,0.20362,2,-1,4,2,0
0.16544,38,3,1,0.151,0.125,0.2636,38,1,0.2636,0.2636,0.20362,0.125,1,1,2,2,0
0.11938,39,3,1,0.38542,0.25,0.2636,39,1,0.2636,0.2636,0.45066,0.25,1,-1,2,3,0
0.18704,40,3,1,0.375,0.25,0.2636,40,1,0.2636,0.2636,0.25,0.44524,2,1,2,3,0
0.1566,41,3,1,0.375,0.25,0.60653,41,1,0.60653,0.60653,0.44524,0.25,1,1,4,3,0
0.02296,42,3,1,0.375,0.25,0.2636,42,1,0.2636,0.2636,0.44524,0.25,1,1,2,3,0
0.55797,43,3,1,0.151,0.125,0.39985,43,1,0.39985,0.39985,0.20362,0.125,1,-1,3,2,0
0.13362,44,3,1,0.5,0.45,0.60653,44,1,0.60653,0.60653,0.45,0.71031,2,1,4,4,0
0.35447,45,3,1,0.35417,0.25,0.2636,45,0,0.2636,0.2636,0.43439,0.25,1,-1,2,3,0
0.10908,46,3,1,0.5,0.45,0.39985,46,1,0.39985,0.39985,0.71031,0.45,1,-1,3,4,0
0.5571,47,3,1,0.20833,0.05,0.17377,47,1,0.17377,0.17377,0.15846,0.05,1,-1,1,1,0
0.045646,48,3,1,0.5,0.45,0.39985,48,0,0.39985,0.39985,0.45,0.71031,2,1,3,4,0
0.39295,49,3,1,0.16667,0.05,0.2636,49,1,0.2636,0.2636,0.13677,0.05,1,-1,2,1,0
NaN,50,3,2,0.067206,0.05,0.60653,50,NaN,0.64152,0.60653,0.05,0.05,1,1,4,1,1
