correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
NaN,NaN,NaN,0.25981,NaN,1,1,0.25,1,73
NaN,NaN,NaN,NaN,NaN,1,0,0.25,2,74
NaN,NaN,NaN,0.25986,NaN,1,1,0.25,1,7
NaN,NaN,NaN,NaN,NaN,2,0,0.25,2,62
NaN,NaN,NaN,0.25998,NaN,2,1,0.25,1,62
NaN,NaN,NaN,0.25996,NaN,2,1,0.25,1,61
NaN,NaN,NaN,0.25989,NaN,2,1,0.25,2,47
NaN,NaN,NaN,NaN,NaN,2,0,0.25,2,34
NaN,NaN,NaN,0.25985,NaN,1,1,0.25,1,28
NaN,NaN,NaN,0.25998,NaN,1,1,0.25,2,49
NaN,NaN,NaN,0.25983,NaN,1,1,0.25,2,45
NaN,NaN,NaN,0.25981,NaN,2,1,0.25,2,37
NaN,NaN,NaN,NaN,NaN,1,0,0.25,2,39
NaN,NaN,NaN,NaN,NaN,1,0,0.25,2,21
NaN,NaN,NaN,0.25981,NaN,1,1,0.25,2,32
0,1.1049,1,0.25986,NaN,2,1,0.25,2,31
NaN,NaN,NaN,0.25987,NaN,2,1,0.25,1,70
NaN,NaN,NaN,0.25994,NaN,2,1,0.25,2,42
NaN,NaN,NaN,0.25994,NaN,1,1,0.25,1,25
NaN,NaN,NaN,0.25984,NaN,2,1,0.25,1,67
NaN,NaN,NaN,0.2598,NaN,1,1,0.25,2,55
NaN,NaN,NaN,0.25981,NaN,1,1,0.25,1,23
NaN,NaN,NaN,0.25986,NaN,2,1,0.25,2,52
NaN,NaN,NaN,0.2596,NaN,1,1,0.25,1,55
NaN,NaN,NaN,0.25981,NaN,1,1,0.25,1,59
NaN,NaN,NaN,0.25985,NaN,2,1,0.25,1,70
NaN,NaN,NaN,0.25968,NaN,1,1,0.25,2,9
NaN,NaN,NaN,0.25974,NaN,2,1,0.25,2,34
NaN,NaN,NaN,0.25979,NaN,2,1,0.25,1,65
NaN,NaN,NaN,0.25981,NaN,1,1,0.25,2,25
NaN,NaN,NaN,0.25976,NaN,2,1,0.25,1,64
NaN,NaN,NaN,NaN,NaN,2,0,0.25,2,38
NaN,NaN,NaN,0.25978,NaN,2,1,0.25,1,47
NaN,NaN,NaN,NaN,NaN,1,0,0.25,1,59
NaN,NaN,NaN,0.2598,NaN,1,1,0.25,1,51
NaN,NaN,NaN,0.2599,NaN,1,1,0.25,1,25
NaN,NaN,NaN,0.25992,NaN,2,1,0.25,1,76
NaN,NaN,NaN,NaN,NaN,2,0,0.25,1,13
NaN,NaN,NaN,0.26001,NaN,2,1,0.25,2,74
NaN,NaN,NaN,0.25983,NaN,1,1,0.25,2,71
NaN,NaN,NaN,0.25994,NaN,1,1,0.25,1,83
NaN,NaN,NaN,NaN,NaN,1,0,0.25,2,56
NaN,NaN,NaN,0.25975,NaN,1,1,0.25,1,53
NaN,NaN,NaN,0.25997,NaN,2,1,0.25,1,62
NaN,NaN,NaN,0.25997,NaN,1,1,0.25,2,12
NaN,NaN,NaN,0.25985,NaN,2,1,0.25,1,48
NaN,NaN,NaN,0.2597,NaN,2,1,0.25,1,24
NaN,NaN,NaN,0.25995,NaN,2,1,0.25,1,15
NaN,NaN,NaN,NaN,NaN,2,0,0.25,1,58
NaN,NaN,NaN,0.25983,NaN,2,1,0.25,2,21
NaN,NaN,NaN,0.2599,NaN,1,1,0.25,1,54
NaN,NaN,NaN,0.25977,NaN,1,1,0.25,2,46
NaN,NaN,NaN,0.25984,NaN,1,1,0.25,1,8
NaN,NaN,NaN,NaN,NaN,1,0,0.25,2,31
NaN,NaN,NaN,NaN,NaN,1,0,0.25,1,50
NaN,NaN,NaN,0.25996,NaN,2,1,0.25,2,65
NaN,NaN,NaN,0.2599,NaN,2,1,0.25,2,28
NaN,NaN,NaN,0.25984,NaN,1,1,0.25,1,55
NaN,NaN,NaN,0.25981,NaN,1,1,0.25,1,61
NaN,NaN,NaN,0.25968,NaN,1,1,0.25,2,38
NaN,NaN,NaN,0.25983,NaN,2,1,0.25,2,46
NaN,NaN,NaN,0.25986,NaN,1,1,0.25,2,56
NaN,NaN,NaN,0.25994,NaN,2,1,0.25,1,70
0,1.0987,1,0.25995,NaN,1,1,0.25,1,81
NaN,NaN,NaN,0.25978,NaN,2,1,0.25,2,62
NaN,NaN,NaN,0.25981,NaN,1,1,0.25,2,75
NaN,NaN,NaN,0.2598,NaN,2,1,0.25,2,10
NaN,NaN,NaN,NaN,NaN,2,0,0.25,2,9
NaN,NaN,NaN,NaN,NaN,2,0,0.25,2,30
NaN,NaN,NaN,0.25989,NaN,2,1,0.25,1,86
NaN,NaN,NaN,NaN,NaN,2,0,0.25,2,16
NaN,NaN,NaN,0.25993,NaN,2,1,0.25,1,33
NaN,NaN,NaN,0.26008,NaN,2,1,0.25,1,49
NaN,NaN,NaN,0.25975,NaN,2,1,0.25,1,39
NaN,NaN,NaN,0.25974,NaN,2,1,0.25,1,26
NaN,NaN,NaN,0.25977,NaN,1,1,0.25,1,39
NaN,NaN,NaN,NaN,NaN,2,0,0.25,2,41
NaN,NaN,NaN,0.25986,NaN,1,1,0.25,1,56
NaN,NaN,NaN,0.25992,NaN,1,1,0.25,1,63
NaN,NaN,NaN,NaN,NaN,1,0,0.25,2,61
NaN,NaN,NaN,0.25993,NaN,1,1,0.25,1,34
NaN,NaN,NaN,0.25983,NaN,1,1,0.25,1,20
NaN,NaN,NaN,NaN,NaN,2,0,0.25,1,7
NaN,NaN,NaN,0.25983,NaN,1,1,0.25,1,70
NaN,NaN,NaN,0.25975,NaN,2,1,0.25,2,11
NaN,NaN,NaN,0.25976,NaN,2,1,0.25,1,31
NaN,NaN,NaN,0.25985,NaN,2,1,0.25,1,85
NaN,NaN,NaN,0.25985,NaN,1,1,0.25,2,40
NaN,NaN,NaN,0.25977,NaN,2,1,0.25,1,2
NaN,NaN,NaN,0.2599,NaN,1,1,0.25,1,1
NaN,NaN,NaN,NaN,NaN,1,0,0.25,2,56
NaN,NaN,NaN,0.25981,NaN,2,1,0.25,2,65
NaN,NaN,NaN,0.25987,NaN,2,1,0.25,1,68
NaN,NaN,NaN,0.25977,NaN,2,1,0.25,1,69
NaN,NaN,NaN,0.25993,NaN,2,1,0.25,1,44
NaN,NaN,NaN,0.26,NaN,1,1,0.25,2,7
NaN,NaN,NaN,0.25986,NaN,2,1,0.25,1,81
NaN,NaN,NaN,0.25996,NaN,2,1,0.25,1,35
NaN,NaN,NaN,0.25983,NaN,2,1,0.25,1,40
NaN,NaN,NaN,NaN,NaN,1,0,0.25,1,64
NaN,NaN,NaN,NaN,NaN,2,0,0.25,2,74
NaN,NaN,NaN,0.25987,NaN,2,1,0.25,2,65
NaN,NaN,NaN,0.25992,NaN,2,1,0.25,1,45
NaN,NaN,NaN,NaN,NaN,1,0,0.25,2,25
NaN,NaN,NaN,NaN,NaN,2,0,0.25,1,17
NaN,NaN,NaN,0.25982,NaN,1,1,0.25,1,49
NaN,NaN,NaN,0.25981,NaN,2,1,0.25,1,72
NaN,NaN,NaN,0.25975,NaN,2,1,0.25,1,8
NaN,NaN,NaN,NaN,NaN,1,0,0.25,2,61
