correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
1,0.63445,10,NaN,1,2,0,0.1427,2,40
1,0.87128,10,NaN,1,2,0,0.1427,1,58
1,0.7502,8,0.16007,1,1,1,0.1427,2,40
0,0.75701,8,0.10993,2,1,1,0.095133,1,22
0,0.77188,8,0.16004,2,2,1,0.1427,1,41
1,0.56857,10,NaN,3,2,0,0.16648,2,29
1,0.76945,8,0.17995,3,2,1,0.16648,2,23
1,0.48239,10,NaN,4,2,0,0.16648,1,40
1,0.48108,10,NaN,4,2,0,0.1427,2,18
1,0.78184,8,0.15988,5,2,1,0.1427,2,4
1,0.62674,8,0.15993,5,1,1,0.1427,2,63
1,0.90764,8,0.12995,6,2,1,0.11892,2,26
1,0.66643,8,0.13003,6,2,1,0.11892,2,48
1,0.5652,9,0.12994,7,1,1,0.11892,1,40
1,0.64605,8,0.10991,7,2,1,0.095133,2,31
1,0.77691,8,0.10994,8,2,1,0.095133,2,7
1,0.6738,9,0.11018,8,2,1,0.095133,1,74
0,0.7465,9,0.089994,9,1,1,0.07135,2,19
1,0.72325,8,0.10996,9,2,1,0.095133,2,18
1,0.83629,8,0.11,10,1,1,0.095133,2,37
1,0.87701,8,0.10987,10,1,1,0.095133,2,52
1,0.5279,9,0.10004,11,1,1,0.083241,1,72
1,0.50869,10,NaN,11,2,0,0.083241,2,30
1,0.75353,9,0.10006,12,2,1,0.083241,1,20
1,0.69624,10,NaN,12,1,0,0.07135,1,67
1,0.5433,10,NaN,13,1,0,0.07135,2,68
0,0.79806,8,0.090014,13,2,1,0.07135,1,3
1,0.69281,9,0.10001,14,1,1,0.083241,1,22
1,0.68972,9,0.10001,14,2,1,0.083241,1,48
1,0.76041,10,NaN,15,1,0,0.083241,2,40
1,0.77335,8,0.08008,15,1,1,0.07135,2,8
1,0.68413,9,0.089976,16,1,1,0.07135,1,3
0,0.92895,8,0.089932,16,1,1,0.07135,1,30
1,0.57187,10,NaN,17,1,0,0.083241,2,53
1,0.75261,10,NaN,17,1,0,0.083241,2,43
1,0.77963,8,0.10008,18,1,1,0.083241,2,11
1,0.53028,10,NaN,18,1,0,0.077295,1,29
1,0.78107,9,0.089889,19,2,1,0.077295,1,21
1,0.90191,8,0.089948,19,1,1,0.077295,2,50
1,0.64268,10,NaN,20,2,0,0.07135,2,55
1,0.58558,10,NaN,20,2,0,0.07135,2,29
1,0.48846,10,NaN,21,2,0,0.07135,1,10
1,0.71126,8,0.079956,21,2,1,0.065404,2,47
1,0.74019,8,0.080043,22,1,1,0.065404,2,39
0,0.69698,8,0.079981,22,2,1,0.065404,1,47
1,0.59778,10,NaN,23,1,0,0.07135,2,43
1,0.50458,10,NaN,23,2,0,0.07135,2,3
0,0.81532,8,0.089816,24,2,1,0.07135,1,31
1,0.62623,9,0.09,24,2,1,0.077295,1,70
1,0.66305,8,0.090045,25,1,1,0.077295,2,48
1,0.6419,9,0.089969,25,2,1,0.077295,1,41
1,0.76673,9,0.089992,26,1,1,0.07135,1,18
1,0.74933,8,0.089863,26,1,1,0.07135,2,33
1,0.70037,9,0.090116,27,2,1,0.07135,1,39
1,0.73113,8,0.079919,27,1,1,0.065404,2,50
1,0.53601,10,NaN,28,2,0,0.065404,2,60
1,0.75882,9,0.079891,28,2,1,0.065404,1,10
NaN,NaN,NaN,NaN,29,2,0,0.059458,2,20
NaN,NaN,NaN,0.070083,29,1,1,0.059458,1,49
1,0.71723,10,NaN,30,2,0,0.059458,2,48
