trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.38642,1,2,2,1,1,0.4,0.79938,0.32082,0.32082,0.39938,15,4,3,4
2,0.37414,1,1,1,4,2,0.28041,0.15,0.2227,0.2227,0.13041,9,2,2,1
3,1.1838,1,1,1,4,1,0.75438,0.25,0.32082,0.32082,0.50438,12,3,3,4
4,0.93943,1,1,1,4,1,0.73157,0.25,0.43782,0.43782,0.48157,4,3,4,4
5,0.33308,1,1,1,4,1,0.28041,0.15,0.43782,0.43782,0.13041,8,2,4,1
6,0.76877,1,2,2,1,2,0.25,0.73157,0.32082,0.32082,0.48157,15,3,3,4
7,0.48436,1,1,1,4,2,0.6408,0.4,0.43782,0.43782,0.2408,14,4,4,1
8,0.70998,0,2,1,3,2,0.79938,0.4,0.2227,0.2227,0.39938,7,4,2,4
9,0.91372,1,1,1,4,2,0.61171,0.15,0.32082,0.32082,0.46171,15,2,3,4
10,0.36532,1,2,2,3,1,0.25,0.5236,0.32082,0.32082,0.2736,16,3,3,1
11,1.1509,1,1,1,1,2,0.61171,0.15,0.43782,0.43782,0.46171,16,2,4,4
12,0.42674,1,2,2,3,1,0.4,0.6408,0.32082,0.32082,0.2408,13,4,3,1
13,0.67833,1,2,2,1,1,0.25,0.73157,0.32082,0.32082,0.48157,7,3,3,4
14,0.94361,0,2,1,4,1,0.70877,0.25,0.2227,0.2227,0.45877,2,3,2,4
15,0.72361,1,1,1,3,1,0.61171,0.15,0.32082,0.32082,0.46171,18,2,3,4
16,0.35716,1,2,2,3,1,0.4,0.6408,0.2227,0.2227,0.2408,20,4,2,1
17,0.47296,1,1,1,4,1,0.59579,0.15,0.32082,0.32082,0.44579,5,2,3,4
18,1.0766,0,1,2,1,1,0.15,0.59579,0.2227,0.2227,0.44579,18,2,2,4
19,0.93417,0,2,1,2,2,0.73157,0.25,0.2227,0.2227,0.48157,6,3,2,4
20,0.74596,1,1,1,2,1,0.5065,0.25,0.43782,0.43782,0.2565,5,3,4,1
21,0.82154,1,1,1,2,2,0.61171,0.15,0.43782,0.43782,0.46171,5,2,4,4
22,0.33531,1,2,2,3,1,0.25,0.75438,0.43782,0.43782,0.50438,3,3,4,4
23,0.49087,1,2,2,4,2,0.15,0.61171,0.2227,0.2227,0.46171,5,2,2,4
24,0.24455,1,1,1,4,1,0.28041,0.15,0.43782,0.43782,0.13041,8,2,4,1
25,0.48021,1,2,2,1,2,0.4,0.63117,0.2227,0.2227,0.23117,17,4,2,1
26,1.1479,1,1,1,3,2,0.27172,0.15,0.32082,0.32082,0.12172,16,2,3,1
27,0.39759,1,1,1,3,2,0.63117,0.4,0.43782,0.43782,0.23117,18,4,4,1
28,0.90518,0,2,1,1,1,0.83569,0.4,0.32082,0.32082,0.43569,15,4,3,4
29,0.77288,1,1,1,2,1,0.61171,0.15,0.2227,0.2227,0.46171,13,2,2,4
30,0.79853,1,2,2,4,2,0.25,0.75438,0.2227,0.2227,0.50438,3,3,2,4
31,0.5862,1,1,1,3,1,0.59579,0.15,0.32082,0.32082,0.44579,16,2,3,4
32,0.66179,1,2,2,2,2,0.25,0.5065,0.2227,0.2227,0.2565,6,3,2,1
33,0.68744,1,2,2,1,2,0.4,0.87199,0.2227,0.2227,0.47199,4,4,2,4
34,0.54707,1,1,1,3,1,0.87199,0.4,0.43782,0.43782,0.47199,3,4,4,4
35,0.27672,1,2,2,4,1,0.25,0.5065,0.43782,0.43782,0.2565,15,3,4,1
36,0.92053,1,2,2,3,2,0.15,0.59579,0.43782,0.43782,0.44579,7,2,4,4
37,0.33204,1,2,2,1,1,0.4,0.63117,0.43782,0.43782,0.23117,5,4,4,1
38,0.3817,1,2,2,3,1,0.4,0.87199,0.43782,0.43782,0.47199,14,4,4,4
39,0.60934,1,2,2,4,1,0.4,0.83569,0.2227,0.2227,0.43569,4,4,2,4
40,1.0291,0,2,1,1,2,0.75438,0.25,0.43782,0.43782,0.50438,14,3,4,4
41,0.43071,1,1,1,1,2,0.77719,0.25,0.2227,0.2227,0.52719,7,3,2,4
42,0.45834,1,1,1,2,1,0.62153,0.4,0.32082,0.32082,0.22153,13,4,3,1
43,0.44605,1,2,2,4,2,0.4,0.83569,0.32082,0.32082,0.43569,3,4,3,4
44,0.32726,1,1,1,2,1,0.4894,0.25,0.32082,0.32082,0.2394,17,3,3,1
45,0.28331,1,2,2,4,2,0.4,0.83569,0.43782,0.43782,0.43569,11,4,4,4
46,0.18898,1,1,1,3,1,0.4894,0.25,0.43782,0.43782,0.2394,14,3,4,1
47,0.84066,1,2,2,4,2,0.15,0.59579,0.43782,0.43782,0.44579,10,2,4,4
48,0.34029,1,2,2,3,2,0.25,0.4894,0.43782,0.43782,0.2394,16,3,4,1
49,0.43797,0,2,1,4,1,0.4723,0.25,0.2227,0.2227,0.2223,18,3,2,1
50,0.40163,1,1,1,3,2,0.27172,0.15,0.43782,0.43782,0.12172,20,2,4,1
51,0.35722,0,1,2,2,2,0.15,0.27172,0.2227,0.2227,0.12172,13,2,2,1
52,0.80694,1,2,2,2,2,0.25,0.77719,0.32082,0.32082,0.52719,12,3,3,4
