correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
1,0.6504,10,NaN,1,1,0,0.16032,1,30
0,0.73127,8,0.16989,1,1,1,0.16032,1,37
1,0.68211,9,0.2299,1,2,1,0.21375,1,27
1,0.7429,8,0.22983,2,2,1,0.21375,2,71
1,0.6537,9,0.22973,2,1,1,0.21375,1,6
1,0.64457,8,0.16996,3,1,1,0.16032,2,59
0,0.8794,8,0.16997,3,2,1,0.16032,1,5
1,0.60825,10,NaN,4,2,0,0.18703,2,38
0,0.89104,8,0.20004,4,2,1,0.18703,1,43
1,0.66586,9,0.22985,5,2,1,0.21375,1,72
1,0.65268,9,0.23008,5,1,1,0.21375,1,5
1,0.5335,10,NaN,6,1,0,0.21375,1,50
1,0.76231,9,0.1998,6,2,1,0.18703,1,9
1,0.74914,8,0.19982,7,1,1,0.18703,2,27
1,0.89994,8,0.1999,7,1,1,0.18703,2,21
1,0.88674,8,0.18981,8,2,1,0.17368,2,14
0,0.84155,9,0.18981,8,1,1,0.17368,2,28
1,0.97845,8,0.19985,9,1,1,0.18703,2,17
1,0.53537,10,NaN,9,2,0,0.18703,1,67
1,0.42211,10,NaN,10,1,0,0.18703,1,75
1,0.74301,8,0.18992,10,2,1,0.17368,2,65
1,0.55775,10,NaN,11,1,0,0.17368,2,59
1,0.8046,9,0.1898,11,2,1,0.17368,1,45
0,0.91548,8,0.16985,12,1,1,0.16032,1,44
0,0.81029,9,0.18995,12,1,1,0.17368,2,42
1,0.69917,8,0.19991,13,1,1,0.18703,2,67
1,0.82585,8,0.19979,13,1,1,0.18703,2,8
1,0.97078,8,0.19987,14,2,1,0.18703,2,60
1,0.71157,9,0.18987,14,1,1,0.17368,1,69
1,0.72055,9,0.18998,15,1,1,0.17368,1,71
0,0.59337,9,0.18999,15,1,1,0.17368,2,9
1,0.66021,9,0.18995,16,1,1,0.18036,1,53
1,0.51694,10,NaN,16,2,0,0.18036,2,39
