correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
1,0.78966,9,0.25989,1,2,1,0.24327,1,39
1,0.49854,10,NaN,1,1,0,0.24327,1,37
1,0.73541,9,0.25981,1,1,1,0.24327,1,50
1,0.66419,8,0.17982,2,2,1,0.16218,2,70
1,0.62509,10,NaN,2,1,0,0.16218,2,39
1,0.82993,8,0.18001,3,1,1,0.16218,2,34
1,0.83654,9,0.089957,3,2,1,0.081089,1,5
0,0.75752,8,0.099881,4,1,1,0.081089,1,33
1,0.79633,8,0.17987,4,1,1,0.16218,2,23
1,0.61125,9,0.17991,5,1,1,0.16218,1,21
0,0.60801,9,0.18002,5,1,1,0.16218,2,22
1,0.76484,9,0.21979,6,1,1,0.20272,1,14
1,0.64164,9,0.21989,6,1,1,0.20272,1,13
1,0.69455,10,NaN,7,2,0,0.20272,1,5
1,0.71127,9,0.17993,7,2,1,0.16218,1,36
1,0.70797,8,0.17962,8,1,1,0.16218,2,54
1,0.653,9,0.17995,8,1,1,0.16218,1,11
1,0.46982,10,NaN,9,1,0,0.12163,2,56
1,0.6725,8,0.13986,9,2,1,0.12163,2,10
1,0.58157,10,NaN,10,2,0,0.12163,1,12
1,0.71234,8,0.10007,10,2,1,0.081089,2,32
1,0.85511,9,0.099792,11,1,1,0.081089,1,54
1,0.59599,9,0.099987,11,2,1,0.081089,1,7
1,0.88679,8,0.050068,12,1,1,0.040544,2,56
1,0.85559,8,0.049968,12,2,1,0.040544,2,8
1,0.70641,10,NaN,13,2,0,0.040544,1,11
0,0.62126,10,0.020032,13,2,1,0.01,1,41
0,0.85006,8,0.059959,14,1,1,0.050544,1,68
1,0.64093,8,0.079782,14,2,1,0.070817,2,63
0,0.76781,8,0.089908,15,1,1,0.070817,1,26
0,0.78247,9,0.10978,15,1,1,0.091089,2,7
0,0.8615,8,0.12999,16,1,1,0.11136,1,20
0,0.88016,8,0.14986,16,1,1,0.13163,1,23
0,0.9911,9,0.16984,17,1,1,0.15191,2,37
1,0.59982,10,NaN,17,2,0,0.17218,1,2
1,0.67069,8,0.18994,18,1,1,0.17218,2,10
0,0.75358,9,0.19003,18,2,1,0.17218,2,53
1,0.7144,8,0.20983,19,2,1,0.19245,2,67
1,0.83717,8,0.20998,19,2,1,0.19245,2,66
1,0.76416,8,0.21,20,1,1,0.19245,2,71
1,0.76884,8,0.18999,20,1,1,0.17218,2,22
1,0.65371,9,0.18984,21,1,1,0.17218,1,40
1,0.81642,10,NaN,21,1,0,0.17218,2,3
1,0.90931,10,NaN,22,2,0,0.15191,1,7
1,0.82605,8,0.16988,22,1,1,0.15191,2,52
1,0.78506,9,0.16988,23,2,1,0.15191,1,12
1,0.53385,10,NaN,23,2,0,0.13163,1,24
1,0.93069,10,NaN,24,2,0,0.13163,2,5
1,0.79341,8,0.14991,24,2,1,0.13163,2,34
1,0.75027,9,0.12986,25,1,1,0.11136,1,32
1,0.55072,10,NaN,25,1,0,0.11136,2,40
1,0.916,10,NaN,26,1,0,0.11136,1,25
0,0.72876,8,0.10997,26,2,1,0.091089,1,18
1,0.81571,8,0.12988,27,2,1,0.11136,2,39
1,0.68238,9,0.12994,27,2,1,0.11136,1,73
1,0.81739,8,0.12996,28,1,1,0.11136,2,40
0,0.71208,9,0.10991,28,1,1,0.091089,2,40
0,0.693,9,0.12981,29,1,1,0.11136,2,55
1,0.95569,9,0.13977,29,1,1,0.1215,1,27
1,0.75853,10,NaN,30,2,0,0.1215,1,17
1,0.63351,9,0.13993,30,1,1,0.1215,1,53
1,0.79632,9,0.12993,31,1,1,0.11136,1,1
0,0.64907,9,0.13057,31,1,1,0.11136,2,39
1,0.66989,8,0.13992,32,2,1,0.1215,2,30
1,0.63673,9,0.13991,32,1,1,0.1215,1,59
1,0.62349,10,NaN,33,2,0,0.1215,2,49
0,0.70228,9,0.12978,33,1,1,0.11136,2,22
1,0.87313,9,0.13994,34,1,1,0.1215,1,69
1,0.60213,8,0.1399,34,2,1,0.1215,2,4
0,0.69484,9,0.13988,35,1,1,0.1215,2,72
1,0.76964,8,0.14996,35,1,1,0.13163,2,7
1,0.76057,8,0.14991,36,2,1,0.13163,2,52
1,0.92122,8,0.14975,36,1,1,0.13163,2,14
1,0.79413,9,0.13982,37,2,1,0.1215,1,13
NaN,NaN,NaN,0.13972,37,2,1,0.1215,2,68
1,0.88388,9,0.1399,38,2,1,0.1215,1,45
1,0.69657,10,NaN,38,2,0,0.1215,1,57
0,0.95146,9,0.12994,39,1,1,0.11136,2,19
1,0.60027,9,0.13992,39,2,1,0.1215,1,72
1,0.97521,8,0.14,40,1,1,0.1215,2,56
1,0.66594,10,NaN,40,2,0,0.1215,2,39
1,0.61476,9,0.12989,41,1,1,0.11136,1,39
1,0.63561,10,NaN,41,1,0,0.11136,1,12
1,0.67842,9,0.12989,42,1,1,0.11136,1,18
1,0.80731,9,0.11996,42,1,1,0.10122,1,13
1,0.90816,10,NaN,43,1,0,0.10122,1,5
1,0.64904,9,0.12003,43,1,1,0.10122,1,38
0,0.75782,8,0.10992,44,2,1,0.091089,1,1
1,0.73251,9,0.11991,44,1,1,0.10122,1,27
1,0.80152,9,0.11988,45,1,1,0.10122,1,40
0,0.75632,9,0.11992,45,1,1,0.10122,2,3
1,0.87506,8,0.11995,46,1,1,0.10629,2,47
1,0.78596,8,0.12009,46,1,1,0.10629,2,22
0,0.82882,8,0.11995,47,2,1,0.10629,1,23
