correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
NaN,NaN,NaN,0.25994,1,2,1,0.25,1,67
NaN,NaN,NaN,0.2598,1,1,1,0.25,2,47
NaN,NaN,NaN,0.25968,1,1,1,0.25,1,23
NaN,NaN,NaN,NaN,2,2,0,0.25,1,17
NaN,NaN,NaN,0.25996,2,1,1,0.25,1,52
NaN,NaN,NaN,0.25975,3,2,1,0.25,2,41
NaN,NaN,NaN,0.25978,3,1,1,0.25,2,32
NaN,NaN,NaN,0.25982,4,1,1,0.25,2,15
NaN,NaN,NaN,NaN,4,1,0,0.25,2,77
NaN,NaN,NaN,0.25988,5,1,1,0.25,1,20
NaN,NaN,NaN,0.25992,5,2,1,0.25,1,33
NaN,NaN,NaN,0.2599,6,1,1,0.25,2,8
NaN,NaN,NaN,0.25964,6,2,1,0.25,2,56
NaN,NaN,NaN,0.25976,7,2,1,0.25,2,65
NaN,NaN,NaN,0.25976,7,2,1,0.25,2,28
NaN,NaN,NaN,0.25978,8,1,1,0.25,2,76
NaN,NaN,NaN,NaN,8,2,0,0.25,2,54
NaN,NaN,NaN,0.26002,9,1,1,0.25,1,45
NaN,NaN,NaN,0.25983,9,1,1,0.25,1,34
NaN,NaN,NaN,0.25982,10,1,1,0.25,1,48
NaN,NaN,NaN,0.25986,10,2,1,0.25,1,76
NaN,NaN,NaN,0.25983,11,2,1,0.25,1,37
NaN,NaN,NaN,0.25986,11,2,1,0.25,2,29
NaN,NaN,NaN,NaN,12,1,0,0.25,2,39
NaN,NaN,NaN,NaN,12,1,0,0.25,2,55
NaN,NaN,NaN,0.25992,13,2,1,0.25,1,9
NaN,NaN,NaN,0.25992,13,1,1,0.25,1,51
NaN,NaN,NaN,NaN,14,1,0,0.25,1,74
NaN,NaN,NaN,0.26001,14,2,1,0.25,2,70
NaN,NaN,NaN,0.25977,15,2,1,0.25,2,23
NaN,NaN,NaN,0.25986,15,2,1,0.25,2,49
NaN,NaN,NaN,0.25988,16,2,1,0.25,1,48
NaN,NaN,NaN,0.25979,16,1,1,0.25,2,43
NaN,NaN,NaN,0.25992,17,2,1,0.25,1,8
NaN,NaN,NaN,0.25992,17,2,1,0.25,1,38
NaN,NaN,NaN,0.25976,18,1,1,0.25,2,39
NaN,NaN,NaN,0.25984,18,2,1,0.25,2,7
NaN,NaN,NaN,0.25989,19,1,1,0.25,1,25
NaN,NaN,NaN,0.25989,19,1,1,0.25,2,20
NaN,NaN,NaN,0.25991,20,1,1,0.25,2,11
NaN,NaN,NaN,0.25979,20,2,1,0.25,1,51
NaN,NaN,NaN,0.25977,21,1,1,0.25,1,24
NaN,NaN,NaN,0.25997,21,1,1,0.25,2,17
NaN,NaN,NaN,0.25983,22,1,1,0.25,2,65
NaN,NaN,NaN,0.25972,22,1,1,0.25,1,60
NaN,NaN,NaN,0.25987,23,2,1,0.25,2,55
NaN,NaN,NaN,0.25977,23,1,1,0.25,2,69
NaN,NaN,NaN,0.25974,24,1,1,0.25,1,44
NaN,NaN,NaN,0.25995,24,1,1,0.25,2,15
NaN,NaN,NaN,0.25994,25,1,1,0.25,2,25
NaN,NaN,NaN,0.25984,25,2,1,0.25,2,52
NaN,NaN,NaN,0.2599,26,2,1,0.25,1,65
NaN,NaN,NaN,0.25984,26,1,1,0.25,1,67
