correct,RT,response,mainTrial,position,respond,SOA,sOnset,tGen,tImg
NaN,NaN,NaN,1,1,1,0.25,NaN,1,85
NaN,NaN,NaN,1,1,1,0.25,NaN,1,21
NaN,NaN,NaN,1,1,1,0.25,NaN,2,54
NaN,NaN,NaN,2,1,1,0.25,NaN,1,35
NaN,NaN,NaN,2,2,1,0.25,NaN,1,17
NaN,NaN,NaN,3,1,1,0.25,NaN,1,23
NaN,NaN,NaN,3,2,1,0.25,NaN,1,64
NaN,NaN,NaN,4,2,1,0.25,NaN,1,3
NaN,NaN,NaN,4,2,1,0.25,NaN,2,43
NaN,NaN,NaN,5,1,1,0.25,NaN,2,73
NaN,NaN,NaN,5,1,1,0.25,NaN,1,59
NaN,NaN,NaN,6,2,1,0.25,NaN,2,11
NaN,NaN,NaN,6,2,1,0.25,NaN,2,48
NaN,NaN,NaN,7,2,1,0.25,NaN,2,68
NaN,NaN,NaN,7,1,0,0.25,NaN,2,32
NaN,NaN,NaN,8,1,1,0.25,NaN,1,15
NaN,NaN,NaN,8,2,1,0.25,NaN,2,48
NaN,NaN,NaN,9,1,1,0.25,NaN,1,17
NaN,NaN,NaN,9,1,0,0.25,NaN,1,55
NaN,NaN,NaN,10,2,1,0.25,NaN,1,27
NaN,NaN,NaN,10,1,0,0.25,NaN,1,26
NaN,NaN,NaN,11,2,0,0.25,NaN,2,73
NaN,NaN,NaN,11,1,1,0.25,NaN,1,59
NaN,NaN,NaN,12,1,1,0.25,NaN,1,41
NaN,NaN,NaN,12,1,1,0.25,NaN,2,78
NaN,NaN,NaN,13,1,0,0.25,NaN,1,39
NaN,NaN,NaN,13,1,1,0.25,NaN,2,26
NaN,NaN,NaN,14,1,0,0.25,NaN,1,85
NaN,NaN,NaN,14,2,1,0.25,NaN,2,15
NaN,NaN,NaN,15,2,1,0.25,NaN,2,3
NaN,NaN,NaN,15,2,1,0.25,NaN,1,35
NaN,NaN,NaN,16,2,0,0.25,NaN,1,50
NaN,NaN,NaN,16,2,1,0.25,NaN,2,3
NaN,NaN,NaN,17,1,1,0.25,NaN,1,50
NaN,NaN,NaN,17,2,1,0.25,NaN,2,34
NaN,NaN,NaN,18,2,1,0.25,NaN,1,11
NaN,NaN,NaN,18,2,1,0.25,NaN,2,33
NaN,NaN,NaN,19,2,1,0.25,NaN,1,78
NaN,NaN,NaN,19,1,1,0.25,NaN,1,85
NaN,NaN,NaN,20,2,0,0.25,NaN,1,77
NaN,NaN,NaN,20,1,1,0.25,NaN,1,53
NaN,NaN,NaN,21,1,1,0.25,NaN,2,78
NaN,NaN,NaN,21,1,1,0.25,NaN,1,39
NaN,NaN,NaN,22,2,1,0.25,NaN,2,21
NaN,NaN,NaN,22,1,1,0.25,NaN,2,76
NaN,NaN,NaN,23,1,1,0.25,NaN,1,75
NaN,NaN,NaN,23,1,1,0.25,NaN,1,86
NaN,NaN,NaN,24,2,0,0.25,NaN,2,67
NaN,NaN,NaN,24,1,1,0.25,NaN,2,65
NaN,NaN,NaN,25,1,0,0.25,NaN,1,46
NaN,NaN,NaN,25,1,1,0.25,NaN,2,30
NaN,NaN,NaN,26,1,1,0.25,NaN,1,20
NaN,NaN,NaN,26,1,1,0.25,NaN,2,35
NaN,NaN,NaN,27,2,1,0.25,NaN,2,75
