correct,RT,response,mainTrial,position,respond,SOA,sOnset,tGen,tImg
NaN,NaN,NaN,27,2,1,0.25,NaN,1,23
NaN,NaN,NaN,28,2,0,0.25,NaN,2,6
NaN,NaN,NaN,28,2,1,0.25,NaN,1,84
NaN,NaN,NaN,29,1,1,0.25,NaN,2,79
NaN,NaN,NaN,29,1,1,0.25,NaN,1,68
NaN,NaN,NaN,30,1,1,0.25,NaN,2,1
NaN,NaN,NaN,30,2,1,0.25,NaN,2,57
NaN,NaN,NaN,31,2,1,0.25,NaN,2,23
NaN,NaN,NaN,31,1,1,0.25,NaN,1,26
NaN,NaN,NaN,32,1,1,0.25,NaN,2,79
NaN,NaN,NaN,32,1,1,0.25,NaN,1,26
NaN,NaN,NaN,33,2,1,0.25,NaN,2,60
NaN,NaN,NaN,33,1,1,0.25,NaN,1,7
NaN,NaN,NaN,34,2,1,0.25,NaN,1,84
NaN,NaN,NaN,34,2,0,0.25,NaN,1,58
NaN,NaN,NaN,35,2,1,0.25,NaN,1,19
NaN,NaN,NaN,35,2,1,0.25,NaN,2,75
NaN,NaN,NaN,36,2,1,0.25,NaN,2,37
NaN,NaN,NaN,36,2,1,0.25,NaN,2,4
NaN,NaN,NaN,37,1,1,0.25,NaN,2,34
NaN,NaN,NaN,37,2,1,0.25,NaN,2,57
NaN,NaN,NaN,38,1,1,0.25,NaN,2,67
NaN,NaN,NaN,38,2,1,0.25,NaN,2,39
NaN,NaN,NaN,39,2,1,0.25,NaN,1,26
NaN,NaN,NaN,39,2,1,0.25,NaN,2,40
NaN,NaN,NaN,40,1,1,0.25,NaN,1,1
NaN,NaN,NaN,40,2,1,0.25,NaN,2,28
NaN,NaN,NaN,41,2,1,0.25,NaN,1,51
NaN,NaN,NaN,41,2,1,0.25,NaN,2,69
NaN,NaN,NaN,42,1,0,0.25,NaN,2,36
NaN,NaN,NaN,42,1,0,0.25,NaN,1,48
NaN,NaN,NaN,43,2,1,0.25,NaN,2,26
NaN,NaN,NaN,43,2,1,0.25,NaN,2,27
NaN,NaN,NaN,44,1,0,0.25,NaN,1,19
NaN,NaN,NaN,44,2,1,0.25,NaN,1,34
NaN,NaN,NaN,45,2,1,0.25,NaN,2,45
NaN,NaN,NaN,45,2,1,0.25,NaN,1,76
NaN,NaN,NaN,46,2,1,0.25,NaN,2,43
NaN,NaN,NaN,46,1,1,0.25,NaN,1,36
NaN,NaN,NaN,47,2,1,0.25,NaN,1,78
NaN,NaN,NaN,47,2,1,0.25,NaN,1,15
NaN,NaN,NaN,48,1,1,0.25,NaN,2,35
NaN,NaN,NaN,48,2,0,0.25,NaN,1,75
NaN,NaN,NaN,49,2,0,0.25,NaN,1,37
NaN,NaN,NaN,49,2,0,0.25,NaN,1,68
NaN,NaN,NaN,50,1,0,0.25,NaN,2,35
NaN,NaN,NaN,50,2,0,0.25,NaN,1,52
NaN,NaN,NaN,51,2,0,0.25,NaN,1,20
NaN,NaN,NaN,51,1,1,0.25,NaN,1,83
NaN,NaN,NaN,52,2,0,0.25,NaN,1,72
NaN,NaN,NaN,52,2,1,0.25,NaN,1,40
NaN,NaN,NaN,53,1,1,0.25,NaN,1,43
NaN,NaN,NaN,53,1,1,0.25,NaN,2,38
NaN,NaN,NaN,54,1,1,0.25,NaN,1,58
NaN,NaN,NaN,54,1,1,0.25,NaN,2,26
NaN,NaN,NaN,55,1,1,0.25,NaN,2,20
NaN,NaN,NaN,55,2,1,0.25,NaN,2,64
NaN,NaN,NaN,56,1,1,0.25,NaN,1,14
NaN,NaN,NaN,56,1,1,0.25,NaN,2,3
NaN,NaN,NaN,57,2,0,0.25,NaN,1,7
0,0.26638,1,57,2,1,0.25,NaN,1,58
NaN,NaN,NaN,58,2,1,0.25,NaN,2,66
NaN,NaN,NaN,58,2,1,0.25,NaN,1,37
NaN,NaN,NaN,59,1,0,0.25,NaN,2,40
NaN,NaN,NaN,59,1,1,0.25,NaN,1,66
NaN,NaN,NaN,60,1,1,0.25,NaN,1,81
NaN,NaN,NaN,60,1,1,0.25,NaN,2,67
NaN,NaN,NaN,61,1,1,0.25,NaN,1,73
NaN,NaN,NaN,61,2,1,0.25,NaN,2,57
NaN,NaN,NaN,62,2,0,0.25,NaN,1,53
NaN,NaN,NaN,62,1,1,0.25,NaN,1,56
NaN,NaN,NaN,63,2,1,0.25,NaN,2,34
NaN,NaN,NaN,63,2,1,0.25,NaN,2,7
NaN,NaN,NaN,64,2,1,0.25,NaN,2,76
NaN,NaN,NaN,64,2,1,0.25,NaN,2,74
NaN,NaN,NaN,65,2,1,0.25,NaN,2,40
NaN,NaN,NaN,65,2,0,0.25,NaN,1,8
NaN,NaN,NaN,66,1,1,0.25,NaN,2,63
NaN,NaN,NaN,66,2,1,0.25,NaN,1,64
NaN,NaN,NaN,67,1,1,0.25,NaN,2,69
NaN,NaN,NaN,67,1,1,0.25,NaN,2,3
NaN,NaN,NaN,68,2,0,0.25,NaN,1,56
NaN,NaN,NaN,68,1,1,0.25,NaN,1,10
0,0.19345,1,69,1,1,0.25,NaN,1,85
NaN,NaN,NaN,69,2,1,0.25,NaN,1,23
NaN,NaN,NaN,70,2,1,0.25,NaN,2,73
NaN,NaN,NaN,70,1,1,0.25,NaN,1,2
NaN,NaN,NaN,71,1,1,0.25,NaN,1,76
NaN,NaN,NaN,71,1,0,0.25,NaN,2,67
NaN,NaN,NaN,72,2,1,0.25,NaN,1,5
NaN,NaN,NaN,72,1,0,0.25,NaN,2,5
