trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
32,0.9446,1,2,2,3,2,0.15,0.15,0.26894,0.54394,0.275,6
33,0.96422,1,2,2,3,1,0.25,0.25,0.14805,0.33238,0.18433,7
34,0.44599,1,2,2,3,1,0.25,0.25,0.26894,0.54394,0.275,3
35,0.36154,1,2,2,1,2,0.15,0.15,0.43782,0.62216,0.18433,7
36,0.73327,1,2,2,1,1,0.4,0.4,0.43782,0.62216,0.18433,17
37,0.56693,0,1,2,3,1,0.15,0.15,0.43782,0.53049,0.092667,8
38,0.31459,1,2,2,1,1,0.25,0.25,0.43782,0.71282,0.275,7
39,0.22228,1,2,2,1,2,0.4,0.4,0.43782,0.71282,0.275,2
40,0.78387,1,2,2,3,1,0.25,0.25,0.43782,0.62216,0.18433,1
41,0.83554,0,2,1,2,1,0.15,0.15,0.33238,0.14805,0.18433,9
42,0.46918,0,1,2,1,1,0.15,0.15,0.43782,0.62216,0.18433,4
43,0.75275,0,2,1,1,2,0.15,0.15,0.42405,0.14805,0.276,8
44,0.30845,1,2,2,1,1,0.25,0.25,0.26894,0.45327,0.18433,17
45,0.31014,1,1,1,1,1,0.15,0.15,0.62116,0.43782,0.18333,9
46,0.25786,1,1,1,3,2,0.4,0.4,0.42405,0.14805,0.276,19
47,0.85343,1,2,2,1,2,0.4,0.4,0.43782,0.66799,0.23017,20
48,0.83119,0,2,1,3,1,0.25,0.25,0.46988,0.14805,0.32183,9
49,1.0268,1,1,1,1,2,0.15,0.15,0.66799,0.43782,0.23017,7
50,0.33245,1,1,1,2,2,0.15,0.15,0.33238,0.14805,0.18433,20
51,0.3441,1,1,1,1,2,0.15,0.15,0.36161,0.26894,0.092667,9
52,0.33971,1,1,1,2,2,0.4,0.4,0.33238,0.14805,0.18433,5
53,0.40542,1,2,2,2,1,0.25,0.25,0.26894,0.45227,0.18333,4
54,0.25704,1,2,2,4,1,0.25,0.25,0.43782,0.66799,0.23017,6
55,0.3247,1,2,2,4,2,0.25,0.25,0.43782,0.62116,0.18333,6
56,0.39832,1,2,2,3,1,0.25,0.25,0.14805,0.33238,0.18433,7
57,0.234,0,2,1,4,2,0.15,0.15,0.36161,0.26894,0.092667,4
58,0.46967,1,2,2,4,1,0.25,0.25,0.43782,0.62216,0.18433,13
59,0.28737,1,1,1,4,2,0.25,0.25,0.45327,0.26894,0.18433,15
60,0.69095,1,2,2,3,1,0.15,0.15,0.26894,0.45227,0.18333,12
61,0.54072,1,1,1,2,2,0.15,0.15,0.45227,0.26894,0.18333,1
62,0.93642,1,2,2,1,1,0.4,0.4,0.43782,0.62216,0.18433,10
63,0.292,1,2,2,4,1,0.15,0.15,0.43782,0.62116,0.18333,12
64,0.26965,1,1,1,2,2,0.25,NaN,0.62246,NaN,0.1375,14
65,0.32134,0,1,2,2,2,0.4,0.4,0.26894,0.72727,0.18433,5
66,0.33297,1,1,1,3,1,0.1,NaN,0.14805,NaN,0.36767,4
67,0.7026,1,2,2,3,2,0.15,0.15,0.43782,0.71282,0.091667,16
68,0.34629,1,1,1,2,2,0.1,NaN,0.62246,NaN,0.092667,16
69,0.32593,1,2,2,4,1,0.25,NaN,0.26894,NaN,0.36767,18
70,1.0155,1,2,2,2,1,0.6,NaN,0.26894,NaN,0.1375,11
71,0.93916,0,2,1,4,2,0.25,NaN,0.43782,NaN,0.091667,20
72,0.29286,1,1,1,2,1,0.4,NaN,0.075858,NaN,0.092667,4
