trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
1,1.0053,0,1,2,3,1,0.4,0.4,0.14805,0.14905,0.001,5
2,0.35301,1,2,2,2,2,0.4,0.4,0.26894,0.72727,0.45833,16
3,0.26861,1,1,1,1,2,0.4,0.4,0.26994,0.26894,0.001,7
4,0.29423,1,2,2,3,1,0.15,0.15,0.43782,0.71282,0.275,19
5,0.33793,1,1,1,3,1,0.4,0.4,0.14905,0.14805,0.001,8
6,0.34164,1,2,2,1,1,0.25,0.25,0.14805,0.33238,0.18433,17
7,0.35922,1,1,1,4,1,0.25,0.25,0.26994,0.26894,0.001,11
8,0.2749,0,2,1,2,2,0.4,0.4,0.14905,0.14805,0.001,9
9,0.33254,1,2,2,4,1,0.15,0.15,0.26894,0.26994,0.001,18
10,0.32009,1,2,2,4,1,0.4,0.4,0.26894,0.26994,0.001,16
11,0.50785,0,1,2,1,2,0.4,0.4,0.43782,0.43882,0.001,3
12,0.31753,0,2,1,1,2,0.15,0.15,0.33238,0.14805,0.18433,16
13,0.34517,0,2,1,2,2,0.15,0.15,0.26994,0.26894,0.001,1
14,0.27673,1,2,2,4,1,0.4,0.4,0.26894,0.45327,0.18433,18
15,0.47042,1,1,1,3,1,0.25,0.25,0.63561,0.26894,0.36667,18
16,0.72211,1,2,2,3,2,0.4,0.4,0.14805,0.42405,0.276,13
17,0.78973,1,2,2,4,1,0.25,0.25,0.43782,0.62216,0.18433,15
18,0.27144,1,2,2,3,2,0.4,0.4,0.26894,0.45327,0.18433,17
19,0.25913,1,2,2,4,1,0.4,0.4,0.26894,0.63561,0.36667,18
20,0.30075,1,1,1,3,2,0.25,0.25,0.33238,0.14805,0.18433,1
21,0.42437,0,2,1,3,2,0.15,0.15,0.33238,0.14805,0.18433,6
22,0.26007,1,2,2,2,2,0.25,0.25,0.43782,0.71282,0.275,12
23,0.83771,1,2,2,4,1,0.15,0.15,0.14805,0.42405,0.276,7
24,0.40934,1,1,1,2,1,0.4,0.4,0.63561,0.26894,0.36667,17
25,0.25304,1,1,1,4,2,0.25,0.25,0.42405,0.14805,0.276,14
26,0.18266,1,1,1,2,2,0.4,0.4,0.71282,0.43782,0.275,2
27,0.33035,0,1,2,4,1,0.15,0.15,0.43782,0.62116,0.18333,16
28,0.34197,1,2,2,1,2,0.4,0.4,0.14805,0.42405,0.276,14
29,0.28763,1,1,1,2,1,0.4,0.4,0.71282,0.43782,0.275,11
30,0.3713,1,1,1,3,2,0.15,0.15,0.42405,0.14805,0.276,19
31,0.66899,1,1,1,2,2,0.15,0.15,0.54394,0.26894,0.275,7
