trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.58537,1,1,1,1,1,0.5065,0.25,0.43782,0.43782,0.2565,4,3,4,1
2,0.50912,0,2,1,2,2,0.62153,0.4,0.2227,0.2227,0.22153,9,4,2,1
3,0.29473,1,1,1,3,1,0.59579,0.15,0.43782,0.43782,0.44579,3,2,4,4
4,0.25033,1,2,2,1,2,0.25,0.5065,0.2227,0.2227,0.2565,17,3,2,1
5,0.76605,1,1,1,3,2,0.8,0.25,0.2227,0.2227,0.55,3,3,2,4
6,0.80767,1,1,1,1,2,0.63117,0.4,0.43782,0.43782,0.23117,3,4,4,1
7,0.33139,1,1,1,4,1,0.63117,0.4,0.32082,0.32082,0.23117,6,4,3,1
8,0.30104,1,1,1,3,2,0.28041,0.15,0.2227,0.2227,0.13041,3,2,2,1
9,0.41667,1,1,1,2,1,0.27607,0.15,0.32082,0.32082,0.12607,6,2,3,1
10,0.2923,1,1,1,4,1,0.63117,0.4,0.43782,0.43782,0.23117,15,4,4,1
11,0.61402,1,1,1,3,1,0.27607,0.15,0.43782,0.43782,0.12607,16,2,4,1
12,0.40964,1,2,2,4,2,0.4,0.62153,0.2227,0.2227,0.22153,1,4,2,1
13,0.5733,1,1,1,1,1,0.4894,0.25,0.2227,0.2227,0.2394,14,3,2,1
14,0.33491,0,2,1,3,2,0.4894,0.25,0.32082,0.32082,0.2394,12,3,3,1
15,0.41072,1,2,2,3,2,0.4,0.83569,0.2227,0.2227,0.43569,3,4,2,4
16,0.30234,1,1,1,1,1,0.5065,0.25,0.32082,0.32082,0.2565,5,3,3,1
17,0.36796,1,2,2,3,2,0.4,0.81753,0.32082,0.32082,0.41753,11,4,3,4
18,0.88356,0,2,1,2,2,0.81753,0.4,0.32082,0.32082,0.41753,4,4,3,4
19,0.30931,1,2,2,2,1,0.4,0.62153,0.32082,0.32082,0.22153,9,4,3,1
20,0.28897,0,2,1,3,1,0.27607,0.15,0.43782,0.43782,0.12607,14,2,4,1
21,0.3246,1,1,1,1,2,0.59579,0.15,0.2227,0.2227,0.44579,8,2,2,4
22,0.31024,1,2,2,2,1,0.15,0.28041,0.43782,0.43782,0.13041,2,2,4,1
23,0.67393,0,2,1,4,2,0.8,0.25,0.2227,0.2227,0.55,6,3,2,4
24,0.36558,1,1,1,4,1,0.8,0.25,0.43782,0.43782,0.55,5,3,4,4
25,0.51926,1,2,2,1,1,0.15,0.59579,0.32082,0.32082,0.44579,12,2,3,4
26,0.29081,1,1,1,1,2,0.5065,0.25,0.43782,0.43782,0.2565,16,3,4,1
27,0.31848,1,2,2,2,2,0.25,0.5065,0.2227,0.2227,0.2565,18,3,2,1
28,0.60016,1,2,2,1,1,0.15,0.57987,0.32082,0.32082,0.42987,6,2,3,4
29,0.77184,0,2,1,2,2,0.57987,0.15,0.2227,0.2227,0.42987,7,2,2,4
30,0.2615,1,2,2,3,1,0.25,0.4894,0.2227,0.2227,0.2394,12,3,2,1
31,0.44116,1,2,2,1,2,0.15,0.59579,0.2227,0.2227,0.44579,11,2,2,4
32,0.30884,1,2,2,3,1,0.25,0.4894,0.43782,0.43782,0.2394,19,3,4,1
33,0.3024,1,1,1,4,1,0.28041,0.15,0.2227,0.2227,0.13041,5,2,2,1
34,0.27406,1,2,2,3,2,0.15,0.28041,0.43782,0.43782,0.13041,11,2,4,1
35,0.32583,1,1,1,3,1,0.8,0.25,0.43782,0.43782,0.55,15,3,4,4
36,0.24742,1,1,1,3,1,0.27607,0.15,0.2227,0.2227,0.12607,13,2,2,1
37,0.29915,1,2,2,3,2,0.25,0.8,0.32082,0.32082,0.55,8,3,3,4
38,0.72475,1,1,1,1,1,0.77719,0.25,0.2227,0.2227,0.52719,8,3,2,4
39,0.28838,1,1,1,3,2,0.59579,0.15,0.2227,0.2227,0.44579,8,2,2,4
40,0.32368,1,2,2,3,1,0.4,0.62153,0.32082,0.32082,0.22153,4,4,3,1
41,0.27776,1,2,2,4,1,0.15,0.27607,0.32082,0.32082,0.12607,4,2,3,1
42,0.34538,1,1,1,4,2,0.83569,0.4,0.43782,0.43782,0.43569,8,4,4,4
43,0.31699,1,2,2,4,2,0.4,0.83569,0.2227,0.2227,0.43569,20,4,2,4
44,0.87863,0,2,1,1,2,0.77719,0.25,0.32082,0.32082,0.52719,18,3,3,4
