trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.78569,0,2,1,1,2,0.62512,0.25,0.32082,0.32082,0.37512,14,3,3,4
2,0.26934,1,1,1,1,1,0.66763,0.4,0.43782,0.43782,0.26763,10,4,4,1
3,0.33498,1,2,2,2,1,0.25,0.51851,0.2227,0.2227,0.26851,16,3,2,1
4,0.7707,0,2,1,4,2,0.48482,0.15,0.2227,0.2227,0.33482,5,2,2,4
5,0.32638,1,2,2,1,2,0.25,0.66884,0.43782,0.43782,0.41884,11,3,4,4
6,0.28799,1,1,1,1,1,0.64851,0.4,0.2227,0.2227,0.24851,10,4,2,1
7,1.0757,1,1,1,3,1,0.54407,0.4,0.43782,0.43782,0.14407,1,4,4,4
8,0.7893,1,2,2,4,1,0.4,0.54407,0.2227,0.2227,0.14407,12,4,2,4
9,0.9529,1,2,2,4,1,0.4,0.47253,0.32082,0.32082,0.072535,20,4,3,4
10,0.30064,1,2,2,3,2,0.4,0.64851,0.32082,0.32082,0.24851,8,4,3,1
11,0.31824,1,2,2,1,2,0.25,0.51851,0.43782,0.43782,0.26851,19,3,4,1
12,0.32987,1,1,1,4,1,0.48015,0.25,0.43782,0.43782,0.23015,1,3,4,1
13,0.99755,0,2,1,3,2,0.47253,0.4,0.43782,0.43782,0.072535,13,4,4,4
14,0.27125,1,1,1,3,2,0.24621,0.15,0.2227,0.2227,0.096206,1,2,2,1
15,0.91458,0,2,1,1,1,0.54407,0.4,0.43782,0.43782,0.14407,6,4,4,4
16,0.48453,1,1,1,3,2,0.22697,0.15,0.43782,0.43782,0.076965,6,2,4,1
17,0.28014,1,2,2,2,2,0.25,0.48015,0.2227,0.2227,0.23015,19,3,2,1
18,0.80382,1,1,1,2,2,0.48015,0.25,0.32082,0.32082,0.23015,11,3,3,1
19,0.58953,1,1,1,3,2,0.64851,0.4,0.43782,0.43782,0.24851,3,4,4,1
20,0.9209,0,2,1,3,1,0.57984,0.4,0.2227,0.2227,0.17984,4,4,2,4
21,0.44495,1,1,1,2,1,0.22697,0.15,0.32082,0.32082,0.076965,19,2,3,1
22,0.80648,1,2,2,3,2,0.25,0.66884,0.32082,0.32082,0.41884,17,3,3,4
23,0.50617,1,2,2,2,1,0.25,0.66884,0.2227,0.2227,0.41884,16,3,2,4
24,1.0058,1,2,2,1,2,0.25,0.62512,0.2227,0.2227,0.37512,7,3,2,4
25,0.35949,0,2,1,1,1,0.62939,0.4,0.32082,0.32082,0.22939,6,4,3,1
26,0.26711,1,1,1,4,2,0.64851,0.4,0.2227,0.2227,0.24851,13,4,2,1
27,0.71684,1,2,2,1,1,0.15,0.5183,0.43782,0.43782,0.3683,3,2,4,4
28,0.96847,1,2,2,3,1,0.15,0.5183,0.2227,0.2227,0.3683,6,2,2,4
29,0.28409,1,2,2,2,1,0.25,0.44179,0.32082,0.32082,0.19179,9,3,3,1
30,0.32574,0,2,1,4,1,0.22697,0.15,0.43782,0.43782,0.076965,2,2,4,1
31,0.26545,1,2,2,3,1,0.25,0.44179,0.2227,0.2227,0.19179,17,3,2,1
32,0.88512,0,2,1,3,2,0.62512,0.25,0.32082,0.32082,0.37512,16,3,3,4
33,0.2547,1,2,2,2,1,0.25,0.44179,0.32082,0.32082,0.19179,16,3,3,1
34,0.85036,1,2,2,4,2,0.4,0.6156,0.32082,0.32082,0.2156,3,4,3,4
35,0.26203,1,1,1,4,2,0.24621,0.15,0.32082,0.32082,0.096206,7,2,3,1
36,0.2317,1,1,1,2,2,0.24621,0.15,0.2227,0.2227,0.096206,13,2,2,1
37,0.25132,1,1,1,3,1,0.64851,0.4,0.2227,0.2227,0.24851,5,4,2,1
38,0.26897,1,2,2,3,1,0.25,0.40343,0.32082,0.32082,0.15343,2,3,3,1
39,0.072592,1,1,1,1,2,0.24621,0.15,0.32082,0.32082,0.096206,5,2,3,1
40,0.56433,0,2,1,4,1,0.23659,0.15,0.32082,0.32082,0.086586,12,2,3,1
41,0.73401,1,2,2,1,1,0.25,0.66884,0.43782,0.43782,0.41884,10,3,4,4
42,1.2096,1,2,2,3,1,0.25,0.40343,0.43782,0.43782,0.15343,1,3,4,1
43,0.80522,1,1,1,4,1,0.66884,0.25,0.2227,0.2227,0.41884,18,3,2,4
44,0.6549,1,2,2,2,2,0.15,0.5183,0.2227,0.2227,0.3683,9,2,2,4
45,0.48257,1,2,2,4,1,0.25,0.66884,0.43782,0.43782,0.41884,2,3,4,4
46,1.0382,1,1,1,2,2,0.6156,0.4,0.32082,0.32082,0.2156,10,4,3,4
47,0.57595,0,2,1,1,1,0.64851,0.4,0.43782,0.43782,0.24851,5,4,4,1
