trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.33059,1,1,1,1,1,0.77465,0.25,0.32082,0.32082,0.52465,17,3,3,4
2,0.42029,1,2,2,3,1,0.25,0.77465,0.2227,0.2227,0.52465,12,3,2,4
3,0.41585,1,2,2,2,2,0.15,0.26545,0.32082,0.32082,0.11545,13,2,3,1
4,0.45142,1,2,2,4,2,0.4,0.62939,0.2227,0.2227,0.22939,18,4,2,1
5,0.69319,1,1,1,3,1,0.55178,0.15,0.2227,0.2227,0.40178,8,2,2,4
6,0.30483,1,2,2,3,1,0.4,0.62939,0.43782,0.43782,0.22939,19,4,4,1
7,0.86046,0,2,1,1,2,0.77465,0.25,0.2227,0.2227,0.52465,10,3,2,4
8,0.73425,1,2,2,3,1,0.15,0.55178,0.32082,0.32082,0.40178,13,2,3,4
9,0.71384,0,2,1,2,1,0.8,0.25,0.32082,0.32082,0.55,12,3,3,4
10,0.40545,1,2,2,3,2,0.4,0.62939,0.2227,0.2227,0.22939,7,4,2,1
11,0.35114,1,2,2,2,2,0.15,0.55178,0.2227,0.2227,0.40178,8,2,2,4
12,0.28276,1,1,1,3,1,0.82921,0.4,0.43782,0.43782,0.42921,8,4,4,4
13,0.27647,1,2,2,1,1,0.25,0.48015,0.2227,0.2227,0.23015,14,3,2,1
14,0.32807,0,2,1,2,1,0.48015,0.25,0.43782,0.43782,0.23015,11,3,4,1
15,0.34771,1,1,1,2,1,0.8,0.25,0.32082,0.32082,0.55,18,3,3,4
16,0.30934,1,2,2,1,1,0.15,0.26545,0.43782,0.43782,0.11545,19,2,4,1
17,0.29713,1,2,2,4,1,0.15,0.26545,0.2227,0.2227,0.11545,19,2,2,1
18,0.65274,1,2,2,2,1,0.15,0.22697,0.2227,0.2227,0.076965,2,2,2,1
19,0.27042,1,1,1,1,1,0.55687,0.25,0.2227,0.2227,0.30687,12,3,2,1
20,0.29007,1,2,2,1,2,0.4,0.82921,0.43782,0.43782,0.42921,13,4,4,4
21,0.24565,1,2,2,3,2,0.25,0.55687,0.2227,0.2227,0.30687,2,3,2,1
22,1.2073,1,2,2,2,1,0.15,0.41786,0.43782,0.43782,0.26786,13,2,4,4
23,0.2667,1,2,2,4,2,0.25,0.8,0.2227,0.2227,0.55,1,3,2,4
24,0.33259,1,1,1,3,1,0.8,0.25,0.43782,0.43782,0.55,2,3,4,4
25,0.76834,1,2,2,2,2,0.4,0.82921,0.32082,0.32082,0.42921,16,4,3,4
26,0.48403,1,2,2,3,2,0.4,0.68614,0.43782,0.43782,0.28614,10,4,4,4
27,0.75764,0,2,1,2,1,0.41786,0.15,0.43782,0.43782,0.26786,16,2,4,4
28,1.0493,0,2,1,2,2,0.62512,0.25,0.2227,0.2227,0.37512,3,3,2,4
29,0.24487,1,2,2,2,2,0.4,0.55293,0.2227,0.2227,0.15293,4,4,2,1
30,0.27062,0,2,1,4,1,0.55687,0.25,0.32082,0.32082,0.30687,7,3,3,1
31,0.25022,1,2,2,1,1,0.4,0.68614,0.43782,0.43782,0.28614,14,4,4,4
32,0.79582,1,2,2,3,1,0.4,0.68614,0.2227,0.2227,0.28614,15,4,2,4
33,0.55155,0,1,2,2,2,0.4,0.55293,0.32082,0.32082,0.15293,17,4,3,1
34,0.40314,1,2,2,3,1,0.15,0.55178,0.32082,0.32082,0.40178,16,2,3,4
35,0.90884,1,2,2,4,2,0.15,0.55178,0.2227,0.2227,0.40178,10,2,2,4
36,0.28053,1,1,1,1,1,0.55178,0.15,0.43782,0.43782,0.40178,15,2,4,4
37,0.30821,0,2,1,4,2,0.62939,0.4,0.43782,0.43782,0.22939,20,4,4,1
38,0.40579,1,1,1,1,2,0.66763,0.4,0.43782,0.43782,0.26763,20,4,4,1
39,0.37739,1,2,2,4,2,0.15,0.22697,0.2227,0.2227,0.076965,14,2,2,1
40,0.84518,1,2,2,2,2,0.4,0.54307,0.2227,0.2227,0.14307,1,4,2,4
41,0.36683,1,2,2,3,1,0.15,0.48482,0.32082,0.32082,0.33482,13,2,3,4
42,0.82639,1,1,1,4,2,0.54307,0.4,0.2227,0.2227,0.14307,1,4,2,4
43,0.25205,1,2,2,1,2,0.4,0.66763,0.43782,0.43782,0.26763,19,4,4,1
44,0.29584,1,2,2,1,2,0.4,0.66763,0.32082,0.32082,0.26763,7,4,3,1
45,0.53142,1,2,2,4,2,0.15,0.22697,0.43782,0.43782,0.076965,12,2,4,1
46,0.78904,1,2,2,1,2,0.25,0.71256,0.32082,0.32082,0.46256,14,3,3,4
