trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
1,0.25756,1,2,2,1,2,0.15,0.7,0.43782,0.43782,0.55,5
2,0.26922,1,2,2,3,2,0.4,0.95,0.43782,0.43782,0.55,19
3,0.31076,1,2,2,3,1,0.15,0.7,0.26894,0.26894,0.55,3
4,0.27445,1,2,2,4,2,0.15,0.7,0.43782,0.43782,0.55,19
5,0.34009,1,2,2,1,2,0.15,0.7,0.43782,0.43782,0.55,6
6,0.30382,1,2,2,2,2,0.15,0.7,0.14805,0.14805,0.55,14
7,0.2994,1,1,1,2,2,0.8,0.25,0.14805,0.14805,0.55,15
8,0.4531,1,1,1,3,2,0.95,0.4,0.43782,0.43782,0.55,7
9,0.50479,1,1,1,1,1,0.8,0.25,0.14805,0.14805,0.55,10
10,0.46035,1,2,2,2,1,0.4,0.95,0.14805,0.14805,0.55,19
11,0.30999,1,1,1,1,1,0.8,0.25,0.43782,0.43782,0.55,14
12,0.74565,1,1,1,4,1,0.7,0.15,0.14805,0.14805,0.55,8
13,0.34139,1,1,1,3,1,0.95,0.4,0.26894,0.26894,0.55,13
14,0.34303,1,2,2,1,1,0.25,0.8,0.26894,0.26894,0.55,13
15,0.38671,1,1,1,4,2,0.51667,0.15,0.26894,0.26894,0.36667,14
16,0.30027,1,1,1,2,2,0.8,0.25,0.14805,0.14805,0.55,18
17,0.384,1,1,1,1,1,0.51667,0.15,0.14805,0.14805,0.36667,10
18,0.2996,1,2,2,3,2,0.25,0.61667,0.26894,0.26894,0.36667,19
19,0.25312,1,1,1,4,2,0.95,0.4,0.14805,0.14805,0.55,9
20,0.72101,1,1,1,4,1,0.76667,0.4,0.14805,0.14805,0.36667,7
21,0.77257,1,1,1,2,2,0.51667,0.15,0.43782,0.43782,0.36667,15
22,0.37436,1,1,1,1,1,0.51667,0.15,0.14805,0.14805,0.36667,3
23,0.5219,1,2,2,2,2,0.25,0.61667,0.43782,0.43782,0.36667,9
24,0.33359,1,1,1,3,1,0.8,0.25,0.26894,0.26894,0.55,6
25,0.43126,1,1,1,1,1,0.76667,0.4,0.43782,0.43782,0.36667,12
26,0.43495,1,1,1,1,2,0.33333,0.15,0.43782,0.43782,0.18333,5
27,0.75663,1,2,2,1,1,0.25,0.61667,0.43782,0.43782,0.36667,7
