trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
28,0.32825,1,2,2,2,1,0.4,0.95,0.43782,0.43782,0.55,7
29,0.49978,1,2,2,2,1,0.25,0.61667,0.43782,0.43782,0.36667,1
30,0.66155,1,2,2,2,1,0.4,0.76667,0.43782,0.43782,0.36667,8
31,0.37719,1,1,1,1,1,0.76667,0.4,0.26894,0.26894,0.36667,10
32,0.35686,1,1,1,1,1,0.33333,0.15,0.14805,0.14805,0.18333,2
33,0.27049,1,2,2,4,1,0.15,0.51667,0.26894,0.26894,0.36667,19
34,0.31413,1,2,2,3,1,0.4,0.76667,0.26894,0.26894,0.36667,7
35,0.28555,1,1,1,3,2,0.43333,0.25,0.14805,0.14805,0.18333,12
36,0.68753,1,1,1,3,1,0.76667,0.4,0.43782,0.43782,0.36667,4
37,0.79512,1,2,2,2,2,0.15,0.33333,0.26894,0.26894,0.18333,5
38,0.4048,1,2,2,2,2,0.25,0.43333,0.26894,0.26894,0.18333,14
39,0.45648,1,2,2,4,2,0.15,0.51667,0.14805,0.14805,0.36667,3
40,0.32413,1,1,1,3,1,0.43333,0.25,0.14805,0.14805,0.18333,10
41,0.86177,0,2,1,1,2,0.151,0.15,0.26894,0.26894,0.001,9
42,0.33737,1,2,2,2,2,0.25,0.61667,0.43782,0.43782,0.36667,8
43,0.38912,1,2,2,1,1,0.4,0.58333,0.14805,0.14805,0.18333,8
44,0.83081,1,2,2,3,2,0.4,0.58333,0.43782,0.43782,0.18333,11
45,0.35436,1,1,1,3,2,0.61667,0.25,0.14805,0.14805,0.36667,1
46,0.26999,1,2,2,3,1,0.4,0.58333,0.26894,0.26894,0.18333,1
47,0.87968,0,1,2,3,1,0.4,0.58333,0.14805,0.14805,0.18333,5
48,0.36334,1,2,2,3,2,0.4,0.58333,0.14805,0.14805,0.18333,6
49,0.27696,1,1,1,1,1,0.33333,0.15,0.43782,0.43782,0.18333,10
50,0.30471,1,1,1,3,2,0.33333,0.15,0.43782,0.43782,0.18333,15
51,0.46032,1,1,1,4,2,0.43333,0.25,0.26894,0.26894,0.18333,7
52,0.25399,1,1,1,2,1,0.33333,0.15,0.14805,0.14805,0.18333,12
53,0.34563,1,2,2,1,1,0.25,0.251,0.26894,0.26894,0.001,5
54,0.40529,1,1,1,3,2,0.33433,0.15,0.43782,0.43782,0.18433,5
55,0.55066,1,2,2,2,1,0.15,0.33433,0.26894,0.26894,0.18433,13
56,0.33058,1,2,2,3,2,0.25,0.43333,0.43782,0.43782,0.18333,15
57,0.26022,1,2,2,3,2,0.4,0.76667,0.26894,0.26894,0.36667,14
58,0.46397,1,1,1,4,1,0.251,0.25,0.26894,0.26894,0.001,18
59,0.33156,1,2,2,1,1,0.15,0.151,0.26894,0.26894,0.001,9
60,0.30116,1,2,2,1,1,0.4,0.76667,0.14805,0.14805,0.36667,14
61,0.28886,1,1,1,2,2,0.76667,0.4,0.26894,0.26894,0.36667,1
62,0.28458,1,1,1,1,1,0.43333,0.25,0.43782,0.43782,0.18333,17
63,0.29423,0,1,2,1,2,0.15,0.151,0.14805,0.14805,0.001,12
64,0.81788,0,2,1,2,2,0.6,NaN,0.26894,NaN,0.001,20
65,0.24551,0,1,2,1,1,0.6,NaN,0.43782,NaN,0.001,20
66,0.38316,1,2,2,4,2,0.15,NaN,0.62246,NaN,0.18433,10
67,0.4108,0,1,2,2,2,0.15,NaN,0.26894,NaN,0.18433,13
68,0.42844,0,2,1,4,2,0.6,NaN,0.43782,NaN,0.001,18
69,0.29608,1,2,2,4,2,0.1,NaN,0.26894,NaN,0.276,6
70,0.4038,1,1,1,4,2,0.15,NaN,0.26894,NaN,0.275,19
71,0.29342,1,1,1,1,2,0.25,NaN,0.62246,NaN,0.18433,1
72,0.72118,1,2,2,3,2,0.6,NaN,0.43782,NaN,0.18433,16
