trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
31,0.29653,0,2,1,4,2,0.1,NaN,0.62246,NaN,0.092667,19
32,0.39425,1,1,1,2,1,0.1,NaN,0.62246,NaN,0.001,19
33,0.30195,1,2,2,4,2,0.1,NaN,0.62246,NaN,0.18433,19
34,0.31358,0,2,1,3,1,0.1,NaN,0.62246,NaN,0.001,19
35,0.64328,1,1,1,2,2,0.1,NaN,0.62246,NaN,0.092667,19
36,0.27088,1,2,2,4,2,0.1,NaN,0.62246,NaN,0.092667,19
37,0.29855,1,2,2,3,2,0.1,NaN,0.62246,NaN,0.092667,19
38,0.39618,1,2,2,4,2,0.1,NaN,0.62246,NaN,0.092667,19
39,1.1359,0,1,2,3,2,0.1,NaN,0.62246,NaN,0.092667,19
40,0.29756,1,2,2,4,1,0.1,NaN,0.62246,NaN,0.18433,19
41,0.30915,1,2,2,3,1,0.1,NaN,0.62246,NaN,0.18433,19
42,0.41686,1,2,2,3,2,0.1,NaN,0.62246,NaN,0.18433,19
43,0.41046,1,2,2,3,1,0.1,NaN,0.62246,NaN,0.18433,19
44,0.36616,1,1,1,1,1,0.1,NaN,0.62246,NaN,0.092667,19
45,1.1297,1,2,2,3,2,0.1,NaN,0.62246,NaN,0.092667,19
46,1.0994,0,1,2,3,1,0.1,NaN,0.62246,NaN,0.18433,19
47,0.29508,1,1,1,2,2,0.1,NaN,0.62246,NaN,0.18433,19
48,0.35477,1,2,2,3,2,0.1,NaN,0.62246,NaN,0.23017,19
49,0.33247,1,2,2,1,2,0.1,NaN,0.62246,NaN,0.18433,19
50,0.52013,1,2,2,1,1,0.1,NaN,0.62246,NaN,0.092667,19
51,0.37777,1,2,2,2,1,0.1,NaN,0.62246,NaN,0.23017,19
52,0.52543,1,2,2,3,2,0.1,NaN,0.62246,NaN,0.092667,19
53,0.32108,1,2,2,2,1,0.1,NaN,0.62246,NaN,0.001,19
54,0.75467,0,1,2,1,1,0.1,NaN,0.62246,NaN,0.001,19
55,0.35821,1,1,1,3,1,0.1,NaN,0.62246,NaN,0.092667,19
56,0.37801,1,1,1,2,1,0.1,NaN,0.62246,NaN,0.092667,19
57,0.33173,1,2,2,1,1,0.1,NaN,0.62246,NaN,0.18433,19
58,0.35932,1,1,1,1,1,0.1,NaN,0.62246,NaN,0.001,19
59,0.26705,1,1,1,2,2,0.1,NaN,0.62246,NaN,0.092667,19
60,0.2926,1,2,2,3,1,0.1,NaN,0.62246,NaN,0.092667,19
61,0.35234,1,1,1,1,1,0.1,NaN,0.62246,NaN,0.092667,19
62,0.44196,1,2,2,1,1,0.1,NaN,0.62246,NaN,0.1385,19
63,0.90166,1,2,2,2,2,0.1,NaN,0.62246,NaN,0.001,19
64,0.29722,1,2,2,2,2,0.1,NaN,0.62246,NaN,0.092667,19
65,0.69092,1,1,1,1,1,0.1,NaN,0.62246,NaN,0.046833,19
66,0.31054,1,2,2,4,2,0.1,NaN,0.62246,NaN,0.001,19
67,0.29824,0,2,1,2,2,0.1,NaN,0.62246,NaN,0.001,19
68,0.38789,1,2,2,4,1,0.1,NaN,0.62246,NaN,0.23017,19
69,0.36762,1,2,2,3,1,0.1,NaN,0.62246,NaN,0.001,19
70,0.8492,0,2,1,3,2,0.1,NaN,0.62246,NaN,0.001,19
71,0.36486,0,1,2,1,2,0.1,NaN,0.62246,NaN,0.001,19
72,0.25649,1,1,1,4,2,0.1,NaN,0.62246,NaN,0.1385,19
