trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
1,0.31288,0,2,1,4,1,0.1,NaN,0.62246,NaN,0.001,19
2,0.47459,0,1,2,3,1,0.1,NaN,0.62246,NaN,0.001,19
3,0.39816,1,2,2,4,2,0.1,NaN,0.62246,NaN,0.001,19
4,0.4499,1,1,1,1,2,0.1,NaN,0.62246,NaN,0.18433,19
5,0.49156,0,2,1,4,2,0.1,NaN,0.62246,NaN,0.001,19
6,0.87119,1,1,1,1,1,0.1,NaN,0.62246,NaN,0.001,19
7,0.33882,1,1,1,1,2,0.1,NaN,0.62246,NaN,0.18433,19
8,0.97251,1,2,2,1,2,0.1,NaN,0.62246,NaN,0.001,19
9,0.33619,1,1,1,1,1,0.1,NaN,0.62246,NaN,0.18433,19
10,0.32978,1,1,1,3,1,0.1,NaN,0.62246,NaN,0.001,19
11,0.46948,1,2,2,2,1,0.1,NaN,0.62246,NaN,0.18433,19
12,0.60907,1,1,1,1,2,0.1,NaN,0.62246,NaN,0.18433,19
13,0.49879,0,2,1,4,1,0.1,NaN,0.62246,NaN,0.001,19
14,0.76652,1,1,1,1,2,0.1,NaN,0.62246,NaN,0.18433,19
15,0.3541,1,1,1,2,2,0.1,NaN,0.62246,NaN,0.001,19
16,0.31571,0,1,2,3,2,0.1,NaN,0.62246,NaN,0.001,19
17,0.30345,1,1,1,2,2,0.1,NaN,0.62246,NaN,0.18433,19
18,0.32303,1,2,2,4,1,0.1,NaN,0.62246,NaN,0.18433,19
19,0.33269,1,1,1,4,1,0.1,NaN,0.62246,NaN,0.18433,19
20,0.42438,1,2,2,4,2,0.1,NaN,0.62246,NaN,0.092667,19
21,0.314,1,1,1,1,2,0.1,NaN,0.62246,NaN,0.18433,19
22,0.30971,1,2,2,3,2,0.1,NaN,0.62246,NaN,0.001,19
23,0.33733,1,2,2,4,2,0.1,NaN,0.62246,NaN,0.18433,19
24,0.61097,1,2,2,4,2,0.1,NaN,0.62246,NaN,0.092667,19
25,0.31835,1,2,2,4,1,0.1,NaN,0.62246,NaN,0.18433,19
26,0.29035,1,1,1,3,2,0.1,NaN,0.62246,NaN,0.092667,19
27,0.33194,1,2,2,4,2,0.1,NaN,0.62246,NaN,0.092667,19
28,0.29563,1,2,2,1,2,0.1,NaN,0.62246,NaN,0.18433,19
29,0.32137,1,1,1,2,1,0.1,NaN,0.62246,NaN,0.092667,19
30,0.32493,1,2,2,2,1,0.1,NaN,0.62246,NaN,0.18433,19
