correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
NaN,NaN,NaN,0.17991,1,1,1,0.16373,1,5
NaN,NaN,NaN,0.18005,1,2,1,0.16373,2,37
NaN,NaN,NaN,0.17985,1,2,1,0.16373,2,49
NaN,NaN,NaN,0.1799,2,1,1,0.16373,1,45
NaN,NaN,NaN,0.17987,2,2,1,0.16373,2,28
NaN,NaN,NaN,NaN,3,2,0,0.16373,1,22
NaN,NaN,NaN,0.17985,3,1,1,0.16373,1,48
NaN,NaN,NaN,NaN,4,1,0,0.16373,1,56
NaN,NaN,NaN,0.17971,4,2,1,0.16373,1,16
NaN,NaN,NaN,0.17983,5,1,1,0.16373,1,30
NaN,NaN,NaN,0.18003,5,1,1,0.16373,1,2
NaN,NaN,NaN,0.17999,6,2,1,0.16373,1,19
NaN,NaN,NaN,0.17991,6,2,1,0.16373,2,13
NaN,NaN,NaN,NaN,7,1,0,0.16373,2,9
NaN,NaN,NaN,0.17978,7,1,1,0.16373,1,58
NaN,NaN,NaN,NaN,8,1,0,0.16373,1,20
NaN,NaN,NaN,0.1798,8,2,1,0.16373,1,68
NaN,NaN,NaN,0.17983,9,1,1,0.16373,1,57
NaN,NaN,NaN,0.17983,9,1,1,0.16373,1,17
NaN,NaN,NaN,0.18008,10,1,1,0.16373,2,66
NaN,NaN,NaN,0.1798,10,2,1,0.16373,2,39
NaN,NaN,NaN,0.17989,11,1,1,0.16373,1,35
NaN,NaN,NaN,NaN,11,1,0,0.16373,2,20
NaN,NaN,NaN,0.17984,12,1,1,0.16373,1,21
NaN,NaN,NaN,0.17994,12,2,1,0.16373,1,52
NaN,NaN,NaN,0.1799,13,1,1,0.16373,2,45
NaN,NaN,NaN,NaN,13,1,0,0.16373,2,74
NaN,NaN,NaN,0.1799,14,1,1,0.16373,2,50
NaN,NaN,NaN,NaN,14,2,0,0.16373,1,52
NaN,NaN,NaN,0.17928,15,2,1,0.16373,1,17
NaN,NaN,NaN,NaN,15,1,0,0.16373,2,43
NaN,NaN,NaN,NaN,16,1,0,0.16373,2,71
NaN,NaN,NaN,0.1798,16,1,1,0.16373,1,71
NaN,NaN,NaN,0.17996,17,2,1,0.16373,1,48
NaN,NaN,NaN,0.18001,17,1,1,0.16373,1,36
NaN,NaN,NaN,0.18004,18,1,1,0.16373,1,47
NaN,NaN,NaN,0.17982,18,2,1,0.16373,2,67
NaN,NaN,NaN,NaN,19,1,0,0.16373,2,47
NaN,NaN,NaN,0.17906,19,2,1,0.16373,1,29
NaN,NaN,NaN,NaN,20,1,0,0.16373,2,2
NaN,NaN,NaN,NaN,20,2,0,0.16373,1,32
NaN,NaN,NaN,0.17992,21,1,1,0.16373,2,23
NaN,NaN,NaN,0.17982,21,2,1,0.16373,2,4
NaN,NaN,NaN,NaN,22,2,0,0.16373,1,16
