trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.76448,0,2,1,2,2,0.85833,0.4,0.43782,0.43782,0.45833,6,4,4,4
2,0.45416,1,1,1,1,1,0.75417,0.25,0.43782,0.43782,0.50417,9,3,4,4
3,0.62569,0,1,2,2,2,0.4,0.88125,0.32082,0.32082,0.48125,18,4,3,4
4,0.38141,1,1,1,4,2,0.75417,0.25,0.43782,0.43782,0.50417,2,3,4,4
5,1.0307,1,1,1,3,2,0.73125,0.25,0.32082,0.32082,0.48125,1,3,3,4
6,0.8028,1,1,1,2,2,0.24267,0.15,0.43782,0.43782,0.092667,7,2,4,1
7,0.27043,1,1,1,1,1,0.43333,0.25,0.43782,0.43782,0.18333,4,3,4,1
8,0.45582,1,1,1,3,2,0.53958,0.15,0.32082,0.32082,0.38958,16,2,3,4
9,0.42767,1,2,2,3,2,0.25,0.73125,0.43782,0.43782,0.48125,11,3,4,4
10,0.28538,1,1,1,2,2,0.72083,0.4,0.32082,0.32082,0.32083,5,4,3,1
11,0.91314,1,1,1,2,2,0.90417,0.4,0.2227,0.2227,0.50417,3,4,2,4
12,0.27671,1,1,1,3,1,0.43333,0.25,0.2227,0.2227,0.18333,7,3,2,1
13,0.73433,1,2,2,4,1,0.25,0.73125,0.32082,0.32082,0.48125,18,3,3,4
14,0.36201,0,1,2,4,2,0.25,0.43333,0.2227,0.2227,0.18333,17,3,2,1
15,0.18962,1,2,2,3,1,0.4,0.72083,0.43782,0.43782,0.32083,17,4,4,1
16,0.46329,0,2,1,4,1,0.45625,0.25,0.2227,0.2227,0.20625,13,3,2,1
17,0.32297,1,1,1,3,2,0.21975,0.15,0.32082,0.32082,0.06975,8,2,3,1
18,0.32658,0,2,1,4,2,0.21975,0.15,0.32082,0.32082,0.06975,17,2,3,1
19,0.31227,1,1,1,1,2,0.69792,0.4,0.2227,0.2227,0.29792,3,4,2,1
20,0.65987,1,2,2,4,2,0.25,0.70833,0.2227,0.2227,0.45833,19,3,2,4
21,0.32558,1,2,2,2,1,0.15,0.24267,0.43782,0.43782,0.092667,11,2,4,1
22,0.24136,1,1,1,1,1,0.24267,0.15,0.32082,0.32082,0.092667,15,2,3,1
23,0.78083,1,1,1,1,2,0.70833,0.25,0.32082,0.32082,0.45833,11,3,3,4
24,0.89436,1,1,1,1,2,0.70833,0.25,0.2227,0.2227,0.45833,9,3,2,4
25,0.4502,1,2,2,4,2,0.4,0.69792,0.2227,0.2227,0.29792,8,4,2,1
26,0.47791,1,2,2,2,1,0.25,0.47917,0.32082,0.32082,0.22917,16,3,3,1
27,0.46362,0,1,2,1,2,0.15,0.24267,0.43782,0.43782,0.092667,1,2,4,1
28,0.30717,1,2,2,2,2,0.4,0.69792,0.32082,0.32082,0.29792,20,4,3,1
29,0.47693,1,2,2,3,2,0.4,0.90417,0.43782,0.43782,0.50417,10,4,4,4
30,0.41612,1,2,2,4,1,0.25,0.68542,0.43782,0.43782,0.43542,18,3,4,4
31,0.33221,1,1,1,4,1,0.47917,0.25,0.43782,0.43782,0.22917,14,3,4,1
32,1.0698,1,1,1,2,2,0.53958,0.15,0.43782,0.43782,0.38958,16,2,4,4
33,0.3934,1,1,1,3,2,0.47917,0.25,0.43782,0.43782,0.22917,12,3,4,1
34,0.30921,1,1,1,1,1,0.45625,0.25,0.32082,0.32082,0.20625,5,3,3,1
35,0.28639,1,1,1,1,2,0.26558,0.15,0.43782,0.43782,0.11558,7,2,4,1
36,0.42649,1,1,1,3,1,0.90417,0.4,0.2227,0.2227,0.50417,5,4,2,4
37,0.82214,0,2,1,4,2,0.68542,0.25,0.32082,0.32082,0.43542,6,3,3,4
38,0.47184,1,1,1,4,2,0.53958,0.15,0.2227,0.2227,0.38958,7,2,2,4
