trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
1,0.27733,1,1,1,3,1,0.15,0.15,0.81894,0.26894,0.55,3
2,0.28091,1,2,2,1,2,0.15,0.15,0.81894,0.26894,0.55,3
3,0.19653,1,1,1,4,1,0.15,0.15,0.81894,0.26894,0.55,3
4,0.28637,1,1,1,2,1,0.15,0.15,0.81894,0.26894,0.55,3
5,0.3059,1,2,2,4,2,0.15,0.15,0.81894,0.26894,0.55,3
6,0.26954,1,2,2,3,1,0.15,0.15,0.81894,0.26894,0.55,3
7,0.25523,1,1,1,4,2,0.15,0.15,0.81894,0.26894,0.55,3
8,0.33094,1,1,1,3,1,0.15,0.15,0.81894,0.26894,0.55,3
9,0.30852,1,1,1,2,1,0.15,0.15,0.81894,0.26894,0.55,3
10,0.51221,1,1,1,4,2,0.15,0.15,0.81894,0.26894,0.55,3
11,0.27582,1,2,2,1,1,0.15,0.15,0.81894,0.26894,0.55,3
12,0.4055,1,1,1,2,1,0.15,0.15,0.81894,0.26894,0.55,3
13,0.29722,1,2,2,1,2,0.15,0.15,0.81894,0.26894,0.55,3
14,0.26878,1,1,1,1,1,0.15,0.15,0.81894,0.26894,0.36667,3
15,0.28643,1,2,2,3,1,0.15,0.15,0.81894,0.26894,0.55,3
16,0.32217,1,1,1,4,1,0.15,0.15,0.81894,0.26894,0.55,3
17,0.29378,1,2,2,2,1,0.15,0.15,0.81894,0.26894,0.36667,3
18,0.25547,1,1,1,3,2,0.15,0.15,0.81894,0.26894,0.36667,3
19,0.39514,1,2,2,4,2,0.15,0.15,0.81894,0.26894,0.55,3
20,0.28483,1,2,2,4,1,0.15,0.15,0.81894,0.26894,0.36667,3
21,0.30454,1,2,2,3,2,0.15,0.15,0.81894,0.26894,0.36667,3
22,0.58,1,2,2,3,1,0.15,0.15,0.81894,0.26894,0.18333,3
23,0.54979,1,2,2,3,2,0.15,0.15,0.81894,0.26894,0.36667,3
