trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
24,0.24934,1,1,1,4,2,0.15,0.15,0.81894,0.26894,0.55,3
25,0.27704,1,1,1,1,1,0.15,0.15,0.81894,0.26894,0.18333,3
26,0.23872,1,2,2,4,2,0.15,0.15,0.81894,0.26894,0.36667,3
27,0.57038,1,1,1,4,2,0.15,0.15,0.81894,0.26894,0.55,3
28,0.30999,1,2,2,4,1,0.15,0.15,0.81894,0.26894,0.36667,3
29,0.31964,1,2,2,1,1,0.15,0.15,0.81894,0.26894,0.36667,3
30,0.28329,1,2,2,1,1,0.15,0.15,0.81894,0.26894,0.18333,3
31,0.99703,0,2,1,4,1,0.15,0.15,0.81894,0.26894,0.36667,3
32,0.29674,1,2,2,4,2,0.15,0.15,0.81894,0.26894,0.55,3
33,0.3163,1,2,2,2,1,0.15,0.15,0.81894,0.26894,0.36667,3
34,0.39797,1,1,1,3,2,0.15,0.15,0.81894,0.26894,0.36667,3
35,0.47358,1,2,2,1,1,0.15,0.15,0.81894,0.26894,0.36667,3
36,0.42129,1,1,1,3,2,0.15,0.15,0.81894,0.26894,0.18333,3
37,0.31898,1,1,1,2,2,0.15,0.15,0.81894,0.26894,0.36667,3
38,0.29064,1,2,2,4,2,0.15,0.15,0.81894,0.26894,0.18333,3
39,0.32421,1,2,2,3,1,0.15,0.15,0.81894,0.26894,0.36667,3
40,0.31193,1,2,2,3,1,0.15,0.15,0.81894,0.26894,0.18333,3
41,0.24357,1,1,1,1,2,0.15,0.15,0.81894,0.26894,0.55,3
42,0.38927,1,2,2,3,1,0.15,0.15,0.81894,0.26894,0.18333,3
43,0.28884,1,1,1,1,1,0.15,0.15,0.81894,0.26894,0.36667,3
44,0.32457,1,2,2,1,1,0.15,0.15,0.81894,0.26894,0.18333,3
45,0.61419,1,1,1,2,2,0.15,0.15,0.81894,0.26894,0.18333,3
46,0.29782,1,1,1,3,1,0.15,0.15,0.81894,0.26894,0.18333,3
47,0.32557,1,1,1,1,1,0.15,0.15,0.81894,0.26894,0.18333,3
48,0.34311,1,2,2,2,1,0.15,0.15,0.81894,0.26894,0.18333,3
49,0.29077,1,1,1,1,2,0.15,0.15,0.81894,0.26894,0.55,3
50,0.28449,1,1,1,1,2,0.15,0.15,0.81894,0.26894,0.18333,3
51,0.31217,1,2,2,2,1,0.15,0.15,0.81894,0.26894,0.001,3
52,0.45178,0,1,2,3,2,0.15,0.15,0.81894,0.26894,0.001,3
53,0.60544,0,2,1,2,1,0.15,0.15,0.81894,0.26894,0.18333,3
54,0.3132,1,2,2,2,1,0.15,0.15,0.81894,0.26894,0.45833,3
55,0.2687,1,2,2,2,2,0.15,0.15,0.81894,0.26894,0.18333,3
56,0.33438,1,1,1,2,1,0.15,0.15,0.81894,0.26894,0.001,3
57,0.44207,0,2,1,3,1,0.15,0.15,0.81894,0.26894,0.001,3
58,0.34969,1,2,2,2,2,0.15,0.15,0.81894,0.26894,0.36667,3
59,0.47142,1,2,2,4,2,0.15,0.15,0.81894,0.26894,0.18433,3
60,0.31508,1,2,2,3,1,0.15,0.15,0.81894,0.26894,0.45833,3
61,0.30069,1,1,1,2,2,0.15,0.15,0.81894,0.26894,0.001,3
62,0.43237,1,1,1,3,1,0.15,0.15,0.81894,0.26894,0.36667,3
63,0.29994,1,2,2,1,2,0.15,0.15,0.81894,0.26894,0.18433,3
64,0.29366,1,1,1,4,2,0.15,0.15,0.81894,0.26894,0.001,3
65,0.43341,0,2,1,4,1,0.15,0.15,0.81894,0.26894,0.001,3
66,0.92498,0,2,1,4,2,0.15,0.15,0.81894,0.26894,0.45833,3
67,0.31862,0,2,1,1,2,0.15,0.15,0.81894,0.26894,0.001,3
68,0.25834,1,2,2,4,2,0.15,0.15,0.81894,0.26894,0.55,3
69,0.34199,1,1,1,2,2,0.15,0.15,0.81894,0.26894,0.55,3
70,0.88761,0,2,1,1,2,0.15,0.15,0.81894,0.26894,0.36667,3
71,0.28325,1,2,2,2,1,0.15,0.15,0.81894,0.26894,0.18433,3
72,0.31697,1,2,2,2,1,0.15,0.15,0.81894,0.26894,0.18433,3
