task,pedestal,threshold
1,1,0.11168
1,1,0.057936
1,2,0.20109
1,2,0.15175
1,3,0.37001
1,3,0.30635
1,4,0.45481
1,4,0.44944
2,1,0.034194
2,1,0.045831
2,2,0.037648
2,2,0.058556
2,3,0.077679
2,3,0.066253
2,4,0.063573
2,4,0.090609
