RT,trial,run,task,deltaPed,coherence,contrast,trialNum,correct,lAvgCon,rAvgCon,lAvgCoh,rAvgCoh,side,direction,conPedestal,cohPedestal,isCatch
0.41422,1,4,1,0.33333,0.45,0.39985,1,1,0.39985,0.39985,0.62354,0.45,1,-1,3,4,0
0.27062,2,4,1,0.101,0.05,0.2636,2,1,0.2636,0.2636,0.10258,0.05,1,-1,2,1,0
0.32822,3,4,1,0.375,0.25,0.39985,3,1,0.39985,0.39985,0.44524,0.25,1,-1,3,3,0
0.50272,4,4,2,0.090718,0.125,0.60653,4,1,0.60653,0.65376,0.125,0.125,2,1,4,2,1
0.50837,5,4,1,0.101,0.05,0.2636,5,1,0.2636,0.2636,0.05,0.10258,2,-1,2,1,0
0.47444,6,4,2,0.12246,0.05,0.39985,6,1,0.39985,0.4636,0.05,0.05,2,-1,3,1,1
1.0875,7,4,2,0.090718,0.05,0.39985,7,1,0.44708,0.39985,0.05,0.05,1,-1,3,1,1
0.3022,8,4,1,0.33333,0.125,0.17377,8,1,0.17377,0.17377,0.29854,0.125,1,-1,1,2,0
0.33074,9,4,1,0.33333,0.45,0.17377,9,0,0.17377,0.17377,0.45,0.62354,2,-1,1,4,0
0.65009,10,4,1,0.35417,0.45,0.39985,10,1,0.39985,0.39985,0.45,0.63439,2,1,3,4,0
1.403,11,4,2,0.090718,0.25,0.2636,11,0,0.31083,0.2636,0.25,0.25,1,-1,2,3,1
0.26884,12,4,1,0.101,0.05,0.17377,12,1,0.17377,0.17377,0.05,0.10258,2,-1,1,1,0
0.27092,13,4,1,0.33333,0.125,0.17377,13,1,0.17377,0.17377,0.29854,0.125,1,-1,1,2,0
0.2576,14,4,1,0.051,0.05,0.2636,14,1,0.2636,0.2636,0.05,0.076552,2,1,2,1,0
0.24012,15,4,1,0.051,0.05,0.39985,15,1,0.39985,0.39985,0.076552,0.05,1,-1,3,1,0
0.3091,16,4,1,0.375,0.25,0.60653,16,1,0.60653,0.60653,0.25,0.44524,2,-1,4,3,0
0.27749,17,4,1,0.051,0.05,0.39985,17,1,0.39985,0.39985,0.076552,0.05,1,-1,3,1,0
0.3694,18,4,2,0.049787,0.125,0.2636,18,1,0.28952,0.2636,0.125,0.125,1,1,2,2,1
0.31813,19,4,1,0.001,0.05,0.17377,19,1,0.17377,0.17377,0.050521,0.05,1,1,1,1,0
0.37463,20,4,2,0.12246,0.25,0.2636,20,1,0.2636,0.32735,0.25,0.25,2,-1,2,3,1
0.65935,21,4,2,0.049787,0.05,0.2636,21,1,0.28952,0.2636,0.05,0.05,1,-1,2,1,1
0.041446,22,4,1,0.33333,0.25,0.60653,22,0,0.60653,0.60653,0.42354,0.25,1,-1,4,3,0
0.28846,23,4,1,0.35417,0.25,0.2636,23,1,0.2636,0.2636,0.43439,0.25,1,-1,2,3,0
0.37601,24,4,1,0.001,0.05,0.2636,24,1,0.2636,0.2636,0.05,0.050521,2,1,2,1,0
0.29232,25,4,1,0.35417,0.25,0.2636,25,1,0.2636,0.2636,0.43439,0.25,1,-1,2,3,0
0.27315,26,4,1,0.33333,0.125,0.2636,26,1,0.2636,0.2636,0.29854,0.125,1,-1,2,2,0
0.15013,27,4,1,0.29167,0.125,0.2636,27,1,0.2636,0.2636,0.27685,0.125,1,-1,2,2,0
0.3304,28,4,1,0.001,0.05,0.60653,28,1,0.60653,0.60653,0.05,0.050521,2,1,4,1,0
0.27428,29,4,1,0.35417,0.25,0.39985,29,1,0.39985,0.39985,0.43439,0.25,1,1,3,3,0
0.2547,30,4,1,0.35417,0.45,0.39985,30,0,0.39985,0.39985,0.63439,0.45,1,1,3,4,0
0.62706,31,4,1,0.375,0.45,0.60653,31,1,0.60653,0.60653,0.45,0.64524,2,1,4,4,0
0.269,32,4,1,0.375,0.45,0.17377,32,1,0.17377,0.17377,0.45,0.64524,2,-1,1,4,0
0.3878,33,4,1,0.34375,0.25,0.17377,33,0,0.17377,0.17377,0.25,0.42897,2,1,1,3,0
0.29054,34,4,2,0.067206,0.05,0.60653,34,1,0.60653,0.64152,0.05,0.05,2,-1,4,1,1
0.30088,35,4,1,0.375,0.45,0.2636,35,1,0.2636,0.2636,0.45,0.64524,2,-1,2,4,0
0.23835,36,4,1,0.29167,0.125,0.39985,36,1,0.39985,0.39985,0.27685,0.125,1,1,3,2,0
0.36049,37,4,1,0.29167,0.125,0.60653,37,1,0.60653,0.60653,0.27685,0.125,1,1,4,2,0
0.20735,38,4,1,0.25,0.125,0.2636,38,1,0.2636,0.2636,0.25516,0.125,1,1,2,2,0
0.17777,39,4,1,0.25,0.125,0.39985,39,1,0.39985,0.39985,0.25516,0.125,1,1,3,2,0
0.25078,40,4,1,0.25,0.125,0.60653,40,1,0.60653,0.60653,0.25516,0.125,1,-1,4,2,0
0.25284,41,4,1,0.36458,0.45,0.60653,41,1,0.60653,0.60653,0.63981,0.45,1,-1,4,4,0
0.4081,42,4,1,0.36458,0.45,0.2636,42,1,0.2636,0.2636,0.45,0.63981,2,-1,2,4,0
0.261,43,4,1,0.36458,0.45,0.39985,43,1,0.39985,0.39985,0.63981,0.45,1,-1,3,4,0
