RT,trial,run,task,deltaPed,coherence,contrast,trialNum,correct,lAvgCon,rAvgCon,lAvgCoh,rAvgCoh,side,direction,conPedestal,cohPedestal,isCatch
0.34526,1,2,1,0.5,0.05,0.17377,1,1,0.17377,0.17377,0.31031,0.05,1,1,1,1,0
0.2772,2,2,1,0.5,0.25,0.39985,2,1,0.39985,0.39985,0.51031,0.25,1,1,3,3,0
0.31061,3,2,1,0.5,0.125,0.2636,3,1,0.2636,0.2636,0.38531,0.125,1,1,2,2,0
0.25639,4,2,1,0.5,0.125,0.39985,4,1,0.39985,0.39985,0.38531,0.125,1,1,3,2,0
0.16089,5,2,1,0.5,0.125,0.39985,5,1,0.39985,0.39985,0.38531,0.125,1,-1,3,2,0
0.047161,6,2,1,0.5,0.05,0.39985,6,1,0.39985,0.39985,0.31031,0.05,1,-1,3,1,0
0.046926,7,2,1,0.5,0.25,0.2636,7,1,0.2636,0.2636,0.51031,0.25,1,1,2,3,0
0.74778,8,2,1,0.5,0.45,0.60653,8,1,0.60653,0.60653,0.71031,0.45,1,-1,4,4,0
0.28421,9,2,1,0.5,0.25,0.39985,9,1,0.39985,0.39985,0.25,0.51031,2,1,3,3,0
0.5367,10,2,1,0.33333,0.25,0.2636,10,1,0.2636,0.2636,0.25,0.42354,2,1,2,3,0
1.3034,11,2,2,0.12246,0.45,0.39985,11,1,0.4636,0.39985,0.45,0.45,1,1,3,4,1
0.18237,12,2,1,0.33333,0.125,0.2636,12,1,0.2636,0.2636,0.29854,0.125,1,1,2,2,0
0.24208,13,2,1,0.5,0.05,0.60653,13,1,0.60653,0.60653,0.31031,0.05,1,-1,4,1,0
0.24331,14,2,1,0.33333,0.05,0.17377,14,1,0.17377,0.17377,0.05,0.22354,2,-1,1,1,0
0.029206,15,2,1,0.33333,0.25,0.39985,15,1,0.39985,0.39985,0.42354,0.25,1,1,3,3,0
0.25533,16,2,1,0.5,0.45,0.2636,16,1,0.2636,0.2636,0.45,0.71031,2,1,2,4,0
0.24612,17,2,1,0.33333,0.05,0.60653,17,1,0.60653,0.60653,0.22354,0.05,1,-1,4,1,0
0.24902,18,2,1,0.33333,0.05,0.2636,18,1,0.2636,0.2636,0.05,0.22354,2,-1,2,1,0
0.24391,19,2,1,0.5,0.45,0.60653,19,1,0.60653,0.60653,0.45,0.71031,2,1,4,4,0
0.51157,20,2,1,0.33333,0.45,0.17377,20,1,0.17377,0.17377,0.45,0.62354,2,-1,1,4,0
0.46948,21,2,2,0.090718,0.05,0.39985,21,1,0.44708,0.39985,0.05,0.05,1,1,3,1,1
0.27659,22,2,1,0.33333,0.125,0.39985,22,1,0.39985,0.39985,0.29854,0.125,1,1,3,2,0
0.93474,23,2,2,0.067206,0.45,0.17377,23,1,0.20876,0.17377,0.45,0.45,1,1,1,4,1
0.38541,24,2,1,0.33333,0.25,0.2636,24,0,0.2636,0.2636,0.42354,0.25,1,1,2,3,0
0.26085,25,2,1,0.41667,0.25,0.60653,25,1,0.60653,0.60653,0.46693,0.25,1,-1,4,3,0
0.22661,26,2,1,0.33333,0.125,0.60653,26,1,0.60653,0.60653,0.29854,0.125,1,1,4,2,0
0.43589,27,2,1,0.33333,0.45,0.60653,27,0,0.60653,0.60653,0.62354,0.45,1,-1,4,4,0
0.35962,28,2,2,0.049787,0.45,0.60653,28,1,0.60653,0.63245,0.45,0.45,2,-1,4,4,1
0.47198,29,2,1,0.41667,0.25,0.17377,29,1,0.17377,0.17377,0.25,0.46693,2,-1,1,3,0
0.31025,30,2,1,0.41667,0.45,0.2636,30,1,0.2636,0.2636,0.45,0.66693,2,-1,2,4,0
0.19395,31,2,1,0.41667,0.45,0.17377,31,1,0.17377,0.17377,0.45,0.66693,2,-1,1,4,0
0.46837,32,2,2,0.067206,0.05,0.17377,32,1,0.17377,0.20876,0.05,0.05,2,-1,1,1,1
0.30495,33,2,1,0.41667,0.45,0.2636,33,1,0.2636,0.2636,0.45,0.66693,2,1,2,4,0
0.24557,34,2,1,0.16667,0.05,0.39985,34,1,0.39985,0.39985,0.05,0.13677,2,1,3,1,0
0.32264,35,2,1,0.41667,0.25,0.60653,35,1,0.60653,0.60653,0.46693,0.25,1,-1,4,3,0
0.27783,36,2,1,0.16667,0.05,0.17377,36,1,0.17377,0.17377,0.05,0.13677,2,1,1,1,0
0.18618,37,2,1,0.375,0.45,0.17377,37,1,0.17377,0.17377,0.45,0.64524,2,-1,1,4,0
0.13957,38,2,1,0.375,0.45,0.39985,38,1,0.39985,0.39985,0.64524,0.45,1,1,3,4,0
0.2875,39,2,2,0.067206,0.125,0.17377,39,1,0.17377,0.20876,0.125,0.125,2,1,1,2,1
0.67935,40,2,2,0.049787,0.05,0.39985,40,1,0.39985,0.42577,0.05,0.05,2,1,3,1,1
-0.0024135,41,2,1,0.16667,0.05,0.60653,41,1,0.60653,0.60653,0.13677,0.05,1,1,4,1,0
0.3447,42,2,1,0.16667,0.125,0.60653,42,1,0.60653,0.60653,0.125,0.21177,2,1,4,2,0
0.31614,43,2,2,0.090718,0.45,0.2636,43,1,0.31083,0.2636,0.45,0.45,1,1,2,4,1
