RT,trial,run,task,deltaPed,coherence,contrast,trialNum,correct,lAvgCon,rAvgCon,lAvgCoh,rAvgCoh,side,direction,conPedestal,cohPedestal,isCatch
0.69098,1,1,2,0.2,0.05,0.60653,1,0,0.71066,0.60653,0.05,0.05,1,-1,4,1,0
0.50623,2,1,2,0.2,0.45,0.39985,2,1,0.50398,0.39985,0.45,0.45,1,-1,3,4,0
0.2733,3,1,2,0.2,0.45,0.39985,3,1,0.50398,0.39985,0.45,0.45,1,-1,3,4,0
0.35747,4,1,2,0.2,0.25,0.39985,4,1,0.39985,0.50398,0.25,0.25,2,1,3,3,0
0.2631,5,1,2,0.2,0.25,0.2636,5,1,0.2636,0.36772,0.25,0.25,2,-1,2,3,0
0.20033,6,1,2,0.2,0.05,0.17377,6,1,0.2779,0.17377,0.05,0.05,1,1,1,1,0
0.2852,7,1,2,0.2,0.45,0.17377,7,1,0.17377,0.2779,0.45,0.45,2,-1,1,4,0
0.27943,8,1,2,0.13333,0.125,0.39985,8,1,0.46927,0.39985,0.125,0.125,1,-1,3,2,0
0.22138,9,1,2,0.2,0.05,0.17377,9,1,0.17377,0.2779,0.05,0.05,2,-1,1,1,0
0.28231,10,1,2,0.2,0.05,0.2636,10,1,0.2636,0.36772,0.05,0.05,2,1,2,1,0
0.15876,11,1,2,0.2,0.25,0.2636,11,1,0.36772,0.2636,0.25,0.25,1,-1,2,3,0
0.48115,12,1,2,0.26667,0.45,0.60653,12,1,0.60653,0.74537,0.45,0.45,2,1,4,4,0
0.43079,13,1,2,0.13333,0.45,0.2636,13,1,0.2636,0.33301,0.45,0.45,2,-1,2,4,0
0.34245,14,1,2,0.13333,0.125,0.17377,14,1,0.17377,0.24319,0.125,0.125,2,1,1,2,0
0.2503,15,1,2,0.13333,0.05,0.17377,15,1,0.24319,0.17377,0.05,0.05,1,-1,1,1,0
0.27004,16,1,2,0.13333,0.45,0.17377,16,1,0.24319,0.17377,0.45,0.45,1,-1,1,4,0
0.3151,17,1,2,0.26667,0.125,0.60653,17,1,0.74537,0.60653,0.125,0.125,1,-1,4,2,0
0.52021,18,1,2,0.13333,0.25,0.39985,18,1,0.39985,0.46927,0.25,0.25,2,-1,3,3,0
