task,pedestal,threshold
1,1,0.096487
1,1,0.14049
1,1,0.16
1,1,0.024306
1,2,0.27983
1,2,0.17836
1,2,0.19048
1,3,0.26337
1,3,0.34259
1,3,0.35043
1,3,0.42711
1,4,0.22899
1,4,0.49653
1,4,0.50079
2,1,0.033512
2,1,0.048343
2,1,0.014425
2,2,0.036124
2,2,0.034338
2,2,0.051274
2,3,0.066806
2,3,0.036741
2,3,0.046345
2,4,0.11957
2,4,0.10263
2,4,0.096176
