correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
NaN,NaN,NaN,0.17982,1,1,1,0.16373,1,68
NaN,NaN,NaN,NaN,1,1,0,0.16373,2,71
NaN,NaN,NaN,0.18036,1,1,1,0.16373,1,6
NaN,NaN,NaN,NaN,2,2,0,0.16373,2,59
NaN,NaN,NaN,0.18,2,2,1,0.16373,1,58
NaN,NaN,NaN,0.18001,3,2,1,0.16373,1,57
NaN,NaN,NaN,0.17989,3,2,1,0.16373,2,45
NaN,NaN,NaN,NaN,4,2,0,0.16373,2,32
NaN,NaN,NaN,0.17963,4,1,1,0.16373,1,26
NaN,NaN,NaN,0.17993,5,1,1,0.16373,2,47
NaN,NaN,NaN,0.17985,5,1,1,0.16373,2,44
NaN,NaN,NaN,0.17993,6,2,1,0.16373,2,36
NaN,NaN,NaN,NaN,6,1,0,0.16373,2,38
NaN,NaN,NaN,NaN,7,1,0,0.16373,2,20
NaN,NaN,NaN,0.18021,7,1,1,0.16373,2,31
NaN,NaN,NaN,0.17992,8,2,1,0.16373,2,30
NaN,NaN,NaN,0.17983,8,2,1,0.16373,1,65
NaN,NaN,NaN,0.17974,9,2,1,0.16373,2,41
NaN,NaN,NaN,0.17994,9,1,1,0.16373,1,23
NaN,NaN,NaN,0.18006,10,2,1,0.16373,1,62
NaN,NaN,NaN,0.17988,10,1,1,0.16373,2,53
NaN,NaN,NaN,0.17988,11,1,1,0.16373,1,21
NaN,NaN,NaN,0.1799,11,2,1,0.16373,2,50
NaN,NaN,NaN,0.17986,12,1,1,0.16373,1,51
NaN,NaN,NaN,0.17983,12,1,1,0.16373,1,55
NaN,NaN,NaN,0.17998,13,2,1,0.16373,1,65
NaN,NaN,NaN,0.17992,13,1,1,0.16373,2,8
NaN,NaN,NaN,0.17982,14,2,1,0.16373,2,33
NaN,NaN,NaN,0.17997,14,2,1,0.16373,1,60
NaN,NaN,NaN,0.17984,15,1,1,0.16373,2,25
NaN,NaN,NaN,0.17982,15,2,1,0.16373,1,59
NaN,NaN,NaN,NaN,16,2,0,0.16373,2,37
NaN,NaN,NaN,0.17999,16,2,1,0.16373,1,44
NaN,NaN,NaN,NaN,17,1,0,0.16373,1,55
NaN,NaN,NaN,0.17988,17,1,1,0.16373,1,47
NaN,NaN,NaN,0.17993,18,1,1,0.16373,1,23
NaN,NaN,NaN,0.17994,18,2,1,0.16373,1,70
NaN,NaN,NaN,NaN,19,2,0,0.16373,1,12
NaN,NaN,NaN,0.17914,19,2,1,0.16373,2,71
NaN,NaN,NaN,0.1799,20,1,1,0.16373,2,68
NaN,NaN,NaN,0.17976,20,1,1,0.16373,1,77
NaN,NaN,NaN,NaN,21,1,0,0.16373,2,54
NaN,NaN,NaN,0.18,21,1,1,0.16373,1,49
NaN,NaN,NaN,0.1798,22,2,1,0.16373,1,58
NaN,NaN,NaN,0.18,22,1,1,0.16373,2,11
NaN,NaN,NaN,0.17991,23,2,1,0.16373,1,45
NaN,NaN,NaN,0.17999,23,2,1,0.16373,1,22
NaN,NaN,NaN,0.17994,24,2,1,0.16373,1,14
NaN,NaN,NaN,NaN,24,2,0,0.16373,1,54
NaN,NaN,NaN,0.17977,25,2,1,0.16373,2,20
NaN,NaN,NaN,0.17989,25,1,1,0.16373,1,50
NaN,NaN,NaN,0.18004,26,1,1,0.16373,2,44
NaN,NaN,NaN,0.17967,26,1,1,0.16373,1,8
NaN,NaN,NaN,NaN,27,1,0,0.16373,2,30
NaN,NaN,NaN,NaN,27,1,0,0.16373,1,46
NaN,NaN,NaN,0.17987,28,2,1,0.16373,2,62
NaN,NaN,NaN,0.17978,28,2,1,0.16373,2,27
NaN,NaN,NaN,0.17983,29,1,1,0.16373,1,52
NaN,NaN,NaN,0.17992,29,1,1,0.16373,1,56
NaN,NaN,NaN,0.17981,30,1,1,0.16373,2,36
NaN,NaN,NaN,0.17997,30,2,1,0.16373,2,45
NaN,NaN,NaN,0.17989,31,1,1,0.16373,2,54
NaN,NaN,NaN,0.17981,31,2,1,0.16373,1,65
NaN,NaN,NaN,0.1798,32,1,1,0.16373,1,75
NaN,NaN,NaN,0.17979,32,2,1,0.16373,2,60
NaN,NaN,NaN,0.17979,33,1,1,0.16373,2,72
NaN,NaN,NaN,0.17996,33,2,1,0.16373,2,10
NaN,NaN,NaN,NaN,34,2,0,0.16373,2,9
NaN,NaN,NaN,NaN,34,2,0,0.16373,2,29
NaN,NaN,NaN,0.17997,35,2,1,0.16373,1,80
NaN,NaN,NaN,NaN,35,2,0,0.16373,2,15
NaN,NaN,NaN,0.17994,36,2,1,0.16373,1,31
