trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.30247,1,2,2,4,2,0.4,0.44683,0.32082,0.32082,0.046833,13,4,3,1
2,0.31386,1,1,1,1,1,0.24267,0.15,0.32082,0.32082,0.092667,12,2,3,4
3,0.27768,1,2,2,2,1,0.4,0.44683,0.32082,0.32082,0.046833,1,4,3,1
4,0.92734,1,2,2,4,2,0.15,0.19683,0.32082,0.32082,0.046833,12,2,3,4
5,1.0111,1,2,2,4,2,0.4,0.5385,0.32082,0.32082,0.1385,3,4,3,4
6,0.31667,1,1,1,2,2,0.3885,0.25,0.2227,0.2227,0.1385,11,3,2,4
7,0.26433,1,1,1,3,1,0.151,0.15,0.43782,0.43782,0.001,13,2,4,1
8,0.27602,1,1,1,1,1,0.34267,0.25,0.2227,0.2227,0.092667,10,3,2,1
9,1.0376,1,1,1,1,1,0.19683,0.15,0.2227,0.2227,0.046833,12,2,2,4
10,0.37737,1,2,2,2,1,0.15,0.19683,0.32082,0.32082,0.046833,19,2,3,4
11,0.31694,1,2,2,4,2,0.15,0.151,0.2227,0.2227,0.001,16,2,2,1
12,0.27062,0,1,2,4,1,0.15,0.151,0.32082,0.32082,0.001,14,2,3,1
13,0.33828,1,2,2,2,2,0.4,0.44683,0.2227,0.2227,0.046833,4,4,2,1
14,0.45386,1,1,1,2,2,0.3885,0.25,0.32082,0.32082,0.1385,9,3,3,4
15,0.27956,1,1,1,1,1,0.34267,0.25,0.43782,0.43782,0.092667,8,3,4,4
16,0.3072,1,1,1,2,1,0.29683,0.25,0.2227,0.2227,0.046833,7,3,2,1
17,0.28493,1,1,1,1,2,0.29683,0.25,0.43782,0.43782,0.046833,12,3,4,1
18,0.64057,1,2,2,1,1,0.4,0.5385,0.2227,0.2227,0.1385,16,4,2,4
19,0.34829,1,2,2,1,1,0.25,0.29683,0.32082,0.32082,0.046833,7,3,3,1
20,0.34984,1,2,2,2,1,0.4,0.401,0.2227,0.2227,0.001,14,4,2,1
21,0.4415,0,2,1,3,2,0.34267,0.25,0.32082,0.32082,0.092667,10,3,3,4
22,0.73319,1,1,1,2,1,0.151,0.15,0.43782,0.43782,0.001,15,2,4,4
