trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.57336,0,1,2,1,2,0.4,0.4,0.32082,0.42662,0.1058,3,3,4,1
2,0.273,1,1,1,3,1,0.25,0.25,0.46188,0.32082,0.14106,18,3,3,1
3,0.26064,1,1,1,1,2,0.25,0.25,0.54466,0.43782,0.10683,17,4,3,1
4,0.32629,1,1,1,2,2,0.25,0.25,0.35798,0.2227,0.13528,16,2,3,1
5,0.32998,1,1,1,4,1,0.4,0.4,0.61271,0.32082,0.29189,14,3,4,4
6,0.69365,1,1,1,4,1,0.25,0.25,0.61271,0.32082,0.29189,3,3,3,4
7,0.28729,1,2,2,4,1,0.15,0.15,0.43782,0.54466,0.10683,14,4,2,1
8,0.435,1,2,2,3,1,0.25,0.25,0.2227,0.45065,0.22795,20,2,3,4
9,0.7887,1,1,1,3,2,0.25,0.25,0.63734,0.43782,0.19952,14,4,3,4
10,0.43226,1,1,1,2,1,0.25,0.25,0.61271,0.32082,0.29189,19,3,3,4
11,0.26795,1,1,1,3,1,0.4,0.4,0.63734,0.43782,0.19952,12,4,4,4
12,0.42159,1,2,2,1,2,0.15,0.15,0.32082,0.51541,0.19459,5,3,2,4
13,0.3293,1,2,2,3,1,0.25,0.25,0.43782,0.63734,0.19952,6,4,3,4
14,0.37297,1,1,1,1,1,0.15,0.15,0.45065,0.2227,0.22795,12,2,2,4
15,0.31854,1,1,1,1,1,0.25,0.25,0.46188,0.32082,0.14106,3,3,3,1
16,0.30618,1,2,2,3,2,0.4,0.4,0.2227,0.35798,0.13528,3,2,4,1
17,0.28586,1,2,2,2,1,0.4,0.4,0.43782,0.57084,0.13301,17,4,4,4
18,0.35149,0,1,2,3,1,0.25,0.25,0.43782,0.54466,0.10683,12,4,3,1
19,0.52313,1,1,1,3,2,0.15,0.15,0.45065,0.2227,0.22795,12,2,2,4
20,0.91688,0,2,1,1,1,0.15,0.15,0.37467,0.2227,0.15197,5,2,2,4
21,0.32047,1,2,2,2,1,0.4,0.4,0.2227,0.35798,0.13528,17,2,4,1
22,0.71621,1,2,2,2,1,0.15,0.15,0.43782,0.57084,0.13301,10,4,2,4
23,0.2698,1,1,1,4,2,0.25,0.25,0.58027,0.43782,0.14245,16,4,3,1
24,0.66542,1,2,2,4,2,0.4,0.4,0.2227,0.45065,0.22795,4,2,4,4
25,0.54917,1,2,2,2,2,0.4,0.4,0.32082,0.51541,0.19459,7,3,4,4
