trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.34377,1,2,2,4,2,0.15,0.7,0.43782,0.43782,0.55,13,2,4,4
2,0.25141,1,1,1,1,1,0.8,0.25,0.14805,0.14805,0.55,12,3,2,4
3,0.30106,1,2,2,2,1,0.4,0.95,0.43782,0.43782,0.55,1,4,4,1
4,0.32068,1,2,2,4,2,0.25,0.8,0.43782,0.43782,0.55,12,3,4,1
5,0.50041,1,2,2,4,2,0.25,0.8,0.14805,0.14805,0.55,3,3,2,1
6,0.28604,1,1,1,2,2,0.7,0.15,0.26894,0.26894,0.55,11,2,3,4
7,0.36165,1,1,1,3,1,0.95,0.4,0.14805,0.14805,0.55,13,4,2,1
8,0.57337,1,1,1,1,1,0.95,0.4,0.26894,0.26894,0.55,10,4,3,1
9,0.47101,1,1,1,1,1,0.7,0.15,0.26894,0.26894,0.55,12,2,3,4
10,0.2826,1,2,2,2,1,0.4,0.95,0.26894,0.26894,0.55,19,4,3,4
11,0.35829,1,2,2,4,2,0.15,0.7,0.26894,0.26894,0.55,16,2,3,1
12,0.46398,1,2,2,4,1,0.4,0.76667,0.14805,0.14805,0.36667,14,4,2,1
13,0.37154,1,2,2,2,2,0.25,0.8,0.26894,0.26894,0.55,4,3,3,4
14,0.34133,1,1,1,2,2,0.7,0.15,0.43782,0.43782,0.55,9,2,4,1
15,0.37699,1,1,1,1,1,0.51667,0.15,0.14805,0.14805,0.36667,8,2,2,4
16,0.30858,1,1,1,2,1,0.7,0.15,0.43782,0.43782,0.55,7,2,4,1
17,0.29426,1,1,1,1,2,0.51667,0.15,0.14805,0.14805,0.36667,12,2,2,1
18,0.31388,1,2,2,1,1,0.4,0.76667,0.43782,0.43782,0.36667,16,4,4,1
19,0.50951,1,2,2,1,1,0.15,0.51667,0.43782,0.43782,0.36667,7,2,4,4
20,0.41523,1,2,2,2,1,0.25,0.8,0.43782,0.43782,0.55,14,3,4,1
21,0.33087,1,1,1,3,2,0.51667,0.15,0.43782,0.43782,0.36667,10,2,4,4
22,0.51047,1,1,1,2,1,0.33333,0.15,0.14805,0.14805,0.18333,15,2,2,4
23,0.64824,1,2,2,4,2,0.25,0.61667,0.43782,0.43782,0.36667,12,3,4,1
24,0.29187,1,1,1,1,2,0.51667,0.15,0.26894,0.26894,0.36667,7,2,3,1
25,0.30943,1,2,2,3,2,0.25,0.61667,0.26894,0.26894,0.36667,6,3,3,1
26,0.35321,1,1,1,1,1,0.8,0.25,0.43782,0.43782,0.55,5,3,4,4
27,0.64482,1,1,1,2,1,0.95,0.4,0.14805,0.14805,0.55,14,4,2,4
28,0.37447,1,1,1,2,1,0.61667,0.25,0.14805,0.14805,0.36667,19,3,2,4
29,0.52209,1,2,2,4,2,0.25,0.61667,0.14805,0.14805,0.36667,9,3,2,1
30,0.30183,1,2,2,3,1,0.4,0.95,0.43782,0.43782,0.55,15,4,4,4
31,0.36741,1,2,2,1,2,0.4,0.76667,0.14805,0.14805,0.36667,14,4,2,4
32,0.34708,1,1,1,3,1,0.76667,0.4,0.43782,0.43782,0.36667,4,4,4,1
33,0.41282,1,2,2,2,1,0.4,0.76667,0.26894,0.26894,0.36667,13,4,3,4
34,0.31243,1,2,2,3,2,0.25,0.61667,0.43782,0.43782,0.36667,5,3,4,4
35,0.3721,1,2,2,3,2,0.25,0.43333,0.26894,0.26894,0.18333,7,3,3,1
36,0.34971,1,2,2,3,2,0.25,0.43333,0.14805,0.14805,0.18333,3,3,2,1
37,0.36136,1,1,1,1,1,0.61667,0.25,0.26894,0.26894,0.36667,6,3,3,4
38,0.43708,1,2,2,4,2,0.4,0.58333,0.26894,0.26894,0.18333,9,4,3,1
39,0.32669,1,2,2,2,2,0.4,0.76667,0.14805,0.14805,0.36667,13,4,2,4
40,0.62629,1,2,2,1,2,0.15,0.33333,0.14805,0.14805,0.18333,1,2,2,4
41,0.39,1,1,1,4,2,0.33333,0.15,0.26894,0.26894,0.18333,10,2,3,4
42,0.96762,1,2,2,3,1,0.25,0.43333,0.14805,0.14805,0.18333,9,3,2,4
43,0.53136,1,2,2,3,2,0.25,0.43333,0.26894,0.26894,0.18333,20,3,3,4
44,0.47687,1,1,1,4,2,0.58333,0.4,0.14805,0.14805,0.18333,19,4,2,1
45,0.50464,1,1,1,3,2,0.43333,0.25,0.43782,0.43782,0.18333,10,3,4,4
46,0.30025,1,1,1,1,1,0.51667,0.15,0.26894,0.26894,0.36667,1,2,3,1
47,0.63799,1,2,2,2,1,0.4,0.58333,0.43782,0.43782,0.18333,13,4,4,4
48,0.97759,1,2,2,1,1,0.4,0.58333,0.26894,0.26894,0.18333,13,4,3,4
49,0.34123,1,2,2,4,1,0.4,0.58333,0.43782,0.43782,0.18333,3,4,4,4
50,0.3909,1,2,2,4,1,0.4,0.58333,0.26894,0.26894,0.18333,4,4,3,1
51,0.33053,1,1,1,4,2,0.33333,0.15,0.14805,0.14805,0.18333,1,2,2,1
52,0.40631,1,1,1,1,2,0.43333,0.25,0.26894,0.26894,0.18333,2,3,3,1
53,0.31187,1,2,2,3,2,0.15,0.33333,0.43782,0.43782,0.18333,12,2,4,1
54,0.28349,1,1,1,1,1,0.33333,0.15,0.14805,0.14805,0.18333,15,2,2,1
