correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
1,0.68397,9,0.26985,1,2,1,0.25,1,75
0,0.76282,8,NaN,1,1,0,0.25,1,50
1,0.76147,8,0.25984,1,2,1,0.25,2,31
0,0.98236,8,0.25984,2,1,1,0.25,1,46
1,0.60326,9,0.25993,2,2,1,0.25,1,23
1,0.76413,8,0.25991,3,2,1,0.25,2,20
1,0.56898,10,NaN,3,1,0,0.25,1,21
1,0.89568,9,0.17993,4,2,1,0.16667,1,2
0,0.72441,8,0.17978,4,1,1,0.16667,1,77
1,0.81333,8,0.21979,5,2,1,0.20833,2,35
1,1.08,8,0.21984,5,1,1,0.20833,2,64
1,0.75707,9,0.21986,6,2,1,0.20833,1,57
1,0.69379,10,NaN,6,1,0,0.16667,1,83
1,0.82279,8,0.17997,7,2,1,0.16667,2,70
1,0.78158,9,0.17999,7,2,1,0.16667,1,45
1,0.78451,9,0.15998,8,1,1,0.14583,1,71
1,0.74719,9,0.15997,8,1,1,0.14583,1,71
1,0.82603,8,0.15989,9,2,1,0.14583,2,39
1,0.74684,9,0.14011,9,1,1,0.125,1,36
0,0.73771,8,0.1399,10,2,1,0.125,1,41
1,0.75035,9,0.15973,10,1,1,0.14583,1,15
1,0.72723,8,0.15989,11,2,1,0.14583,2,46
0,0.65601,8,0.15973,11,2,1,0.14583,1,9
0,0.74503,9,0.17998,12,1,1,0.16667,2,21
0,0.79173,8,0.19976,12,2,1,0.1875,1,28
1,0.76462,9,0.21988,13,1,1,0.20833,1,59
1,0.76951,8,0.21991,13,2,1,0.20833,2,48
1,0.77828,9,0.2199,14,1,1,0.20833,1,86
1,0.81919,8,0.19994,14,2,1,0.1875,2,8
1,0.82401,8,0.19988,15,1,1,0.1875,2,7
0,0.78678,8,0.19977,15,2,1,0.1875,1,53
1,0.88345,9,0.2198,16,1,1,0.20833,1,7
1,0.6904,10,NaN,16,1,0,0.20833,1,75
1,0.8753,10,NaN,17,2,0,0.20833,2,52
1,0.57818,10,NaN,17,1,0,0.1875,1,79
1,0.83687,9,0.19988,18,1,1,0.1875,1,15
0,0.60769,10,0.19981,18,1,1,0.1875,2,25
0,0.66855,9,0.20983,19,1,1,0.19792,2,33
1,0.81137,9,0.2199,19,1,1,0.20833,1,70
0,0.88018,8,0.21974,20,2,1,0.20833,1,7
1,0.50706,10,NaN,20,1,0,0.21875,1,57
1,0.7298,9,0.22988,21,1,1,0.21875,1,18
0,0.7467,9,0.22982,21,1,1,0.21875,2,21
1,0.74553,9,0.23985,22,1,1,0.22917,1,43
1,0.50442,10,NaN,22,2,0,0.22917,2,27
1,0.79519,9,0.23991,23,2,1,0.22917,1,80
0,0.77393,9,0.22991,23,2,1,0.21875,2,56
0,0.86689,8,0.23988,24,2,1,0.22917,1,4
1,0.78761,9,0.24983,24,1,1,0.23958,1,3
1,0.98652,9,0.24992,25,1,1,0.23958,1,75
1,0.71317,10,NaN,25,2,0,0.23958,1,58
0,0.78416,9,0.23984,26,1,1,0.22917,2,37
1,0.76695,8,0.24985,26,1,1,0.23958,2,69
1,0.81377,8,0.24986,27,2,1,0.23958,2,28
1,0.90058,9,0.24982,27,1,1,0.23958,1,71
0,0.8595,8,0.23982,28,1,1,0.22917,1,74
1,0.60589,9,0.24948,28,1,1,0.23958,1,35
1,0.76314,8,0.24991,29,2,1,0.23958,2,6
1,0.71933,10,NaN,29,2,0,0.23958,1,21
0,0.9629,8,0.24002,30,2,1,0.22917,1,44
1,0.54965,10,NaN,30,1,0,0.23438,2,38
1,0.86654,8,0.24983,31,2,1,0.23438,2,17
1,0.64522,10,NaN,31,1,0,0.23438,1,35
1,1.082,8,0.23983,32,1,1,0.22917,2,57
0,0.75285,9,0.23974,32,2,1,0.22917,2,24
1,0.79373,9,0.24983,33,2,1,0.23438,1,3
1,0.94464,9,0.24993,33,1,1,0.23438,1,65
1,0.7614,8,0.24979,34,2,1,0.23438,2,27
1,0.64622,10,NaN,34,1,0,0.22917,1,50
NaN,NaN,NaN,0.23992,35,1,1,0.22917,2,37
0,0.91779,8,0.23995,35,1,1,0.22917,1,55
0,0.86034,9,0.24945,36,1,1,0.23438,2,42
1,0.64143,10,NaN,36,2,0,0.23958,2,67
1,0.82231,10,NaN,37,1,0,0.23958,1,84
1,0.74317,8,0.24986,37,1,1,0.23958,2,30
1,0.69212,10,NaN,38,2,0,0.23438,2,62
1,0.75687,9,0.24985,38,2,1,0.23438,1,64
1,0.86158,9,0.24987,39,2,1,0.23438,1,64
1,0.7384,8,0.23982,39,2,1,0.22917,2,24
0,0.80336,9,0.23985,40,1,1,0.22917,2,34
1,0.68224,9,0.24985,40,1,1,0.23438,1,29
1,0.74109,8,0.24987,41,1,1,0.23438,2,2
1,0.71383,10,NaN,41,2,0,0.23438,2,71
1,0.9347,8,0.24011,42,2,1,0.22917,2,12
1,0.83553,8,0.23992,42,1,1,0.22917,2,72
0,0.85819,9,0.23982,43,1,1,0.22917,2,67
1,0.54112,10,NaN,43,2,0,0.23438,1,64
1,0.79396,9,0.24991,44,1,1,0.23438,1,77
1,0.65469,10,NaN,44,2,0,0.23438,1,73
NaN,NaN,NaN,NaN,45,2,0,0.22917,2,77
1,0.70043,9,0.23986,45,1,1,0.22917,1,84
0,0.88141,9,0.23994,46,1,1,0.22917,2,37
1,0.73142,9,0.24928,46,1,1,0.23438,1,62
0,0.74297,8,0.24986,47,2,1,0.23438,1,7
0,0.75771,9,0.24984,47,2,1,0.23958,2,33
1,0.86061,9,0.25991,48,1,1,0.24479,1,2
1,0.70943,9,0.2598,48,1,1,0.24479,1,81
1,0.69024,10,NaN,49,1,0,0.24479,2,63
0,0.74901,9,0.24983,49,2,1,0.23958,2,65
1,0.9539,9,0.25982,50,1,1,0.24479,1,35
1,0.84861,9,0.25984,50,1,1,0.24479,1,66
0,0.80154,8,0.2598,51,2,1,0.24479,1,3
1,0.82245,8,0.26003,51,2,1,0.25,2,28
1,0.87124,8,0.25986,52,1,1,0.25,2,15
1,0.73998,10,NaN,52,1,0,0.25,2,17
1,0.63289,10,NaN,53,1,0,0.24479,1,72
1,0.77566,8,0.2599,53,1,1,0.24479,2,79
1,0.92659,9,0.25993,54,1,1,0.24479,1,26
0,0.86335,9,0.24985,54,1,1,0.23958,2,64
1,0.90617,8,0.25987,55,1,1,0.24479,2,10
1,0.64693,9,0.25985,55,2,1,0.24479,1,36
1,0.85779,9,0.25966,56,1,1,0.24479,1,81
1,0.48262,10,NaN,56,2,0,0.23958,2,10
1,0.8254,9,0.24987,57,2,1,0.23958,1,40
1,0.84823,8,0.24988,57,2,1,0.23958,2,8
0,0.84312,9,0.24982,58,1,1,0.23698,2,8
0,0.95595,9,0.2499,58,1,1,0.23958,2,66
1,0.93687,8,0.25995,59,1,1,0.24219,2,18
1,0.84768,8,0.25985,59,2,1,0.24219,2,59
1,0.79649,8,0.25991,60,2,1,0.24219,2,49
1,0.24135,9,0.25,60,1,1,0.23958,1,41
1,0.80007,8,0.24996,61,2,1,0.23958,2,29
1,0.76879,9,0.24983,61,2,1,0.23958,1,19
