correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
1,0.69121,8,0.18991,1,1,1,0.17104,2,17
1,0.80005,8,0.18985,1,2,1,0.17104,2,58
1,0.80649,9,0.18973,1,1,1,0.17104,1,37
1,0.75767,10,NaN,2,1,0,0.11402,1,11
1,0.62648,8,0.13,2,2,1,0.11402,2,72
1,0.68331,8,0.12984,3,1,1,0.11402,2,70
1,0.56214,10,NaN,3,1,0,0.057012,2,36
1,0.75493,8,0.069975,4,2,1,0.057012,2,44
0,0.83174,8,0.070048,4,2,1,0.057012,1,1
1,0.65067,9,0.12991,5,1,1,0.11402,1,53
1,0.64543,8,0.12988,5,2,1,0.11402,2,47
1,0.61813,9,0.12987,6,1,1,0.11402,1,35
0,0.90712,9,0.099916,6,1,1,0.085518,2,28
1,0.556,9,0.12996,7,1,1,0.11402,1,41
1,0.77471,8,0.12993,7,1,1,0.11402,2,36
1,0.64357,8,0.1299,8,2,1,0.11402,2,68
1,0.77839,8,0.10992,8,1,1,0.099771,2,20
1,0.6573,9,0.10987,9,1,1,0.099771,1,65
1,0.98405,8,0.11001,9,1,1,0.099771,2,58
1,0.72482,9,0.099833,10,1,1,0.085518,1,34
1,0.63967,9,0.099978,10,1,1,0.085518,1,67
1,0.59258,8,0.099993,11,2,1,0.085518,2,56
1,0.81929,8,0.089852,11,1,1,0.071265,2,15
1,0.52417,10,NaN,12,1,0,0.071265,2,48
1,0.69094,8,0.089973,12,2,1,0.071265,2,3
1,0.68979,8,0.069935,13,2,1,0.057012,2,15
1,0.76674,8,0.070064,13,1,1,0.057012,2,7
1,0.61949,8,0.069792,14,2,1,0.057012,2,20
1,0.64837,8,0.060027,14,2,1,0.042759,2,41
0,0.6111,8,0.059939,15,2,1,0.042759,1,52
1,0.66193,10,NaN,15,1,0,0.057012,2,18
1,0.86473,8,0.070008,16,1,1,0.057012,2,7
1,0.59956,10,NaN,16,1,0,0.057012,2,44
0,0.79051,9,0.060082,17,1,1,0.042759,2,64
0,0.71526,8,0.069921,17,1,1,0.057012,1,3
1,0.56009,10,NaN,18,2,0,0.064138,2,63
1,1.033,9,0.079995,18,2,1,0.064138,1,50
1,0.78577,9,0.079984,19,1,1,0.064138,1,48
1,0.87853,9,0.069948,19,1,1,0.057012,1,43
1,0.52153,10,NaN,20,1,0,0.057012,1,49
0,0.59826,8,0.069891,20,2,1,0.057012,1,9
1,0.70506,8,0.079984,21,2,1,0.064138,2,57
0,0.73358,8,0.079699,21,2,1,0.064138,1,41
1,0.56482,10,NaN,22,1,0,0.071265,1,14
1,0.66555,8,0.089884,22,1,1,0.071265,2,13
1,0.48852,10,NaN,23,1,0,0.071265,2,39
1,0.89325,8,0.080022,23,1,1,0.064138,2,22
1,0.81405,9,0.079935,24,2,1,0.064138,1,66
1,1.0229,9,0.079953,24,1,1,0.064138,1,3
1,0.78975,8,0.070013,25,2,1,0.057012,2,2
1,0.73051,8,0.069946,25,2,1,0.057012,2,20
0,0.65929,9,0.069855,26,1,1,0.057012,2,28
1,0.8036,8,0.079443,26,1,1,0.064138,2,30
0,0.87236,8,0.079728,27,2,1,0.064138,1,70
1,0.74382,9,0.089975,27,2,1,0.071265,1,60
1,0.86215,8,0.08949,28,2,1,0.071265,2,24
1,0.57346,9,0.08992,28,2,1,0.071265,1,56
0,0.83429,9,0.07992,29,2,1,0.064138,2,10
1,0.62313,9,0.090678,29,1,1,0.071265,1,73
1,0.856,8,0.089968,30,2,1,0.071265,2,2
1,0.78454,9,0.089704,30,2,1,0.071265,1,58
1,0.67351,8,0.079785,31,2,1,0.064138,2,68
1,0.51453,10,NaN,31,1,0,0.064138,1,40
1,0.83328,8,0.079892,32,2,1,0.064138,2,38
0,0.9681,8,0.06998,32,2,1,0.057012,1,11
0,0.89696,8,0.079882,33,2,1,0.064138,1,36
1,0.61982,9,0.080005,33,1,1,0.067702,1,10
1,1.0048,9,0.080012,34,2,1,0.067702,1,18
1,0.6374,9,0.079924,34,2,1,0.067702,1,64
1,1.0522,8,0.079834,35,2,1,0.064138,2,70
0,0.67712,9,0.080165,35,2,1,0.064138,2,70
1,0.55387,8,0.079941,36,2,1,0.067702,2,33
1,0.7226,10,NaN,36,1,0,0.067702,1,22
1,0.7097,9,0.080064,37,1,1,0.067702,1,41
1,0.56649,9,0.079998,37,2,1,0.064138,1,35
1,0.63731,9,0.080682,38,1,1,0.064138,1,42
0,0.85614,9,0.080065,38,1,1,0.064138,2,55
0,0.67685,8,0.079865,39,2,1,0.067702,1,25
1,0.68363,10,NaN,39,1,0,0.071265,2,9
1,0.61649,10,NaN,40,1,0,0.071265,2,37
1,0.45544,10,NaN,40,2,0,0.071265,2,11
0,0.59233,9,0.079943,41,1,1,0.067702,2,18
0,0.66312,8,0.089916,41,2,1,0.071265,1,16
0,0.72585,8,0.089963,42,2,1,0.074828,1,3
1,0.59659,10,NaN,42,2,0,0.078391,2,66
0,0.74959,9,0.089879,43,1,1,0.078391,2,14
1,0.6358,9,0.099396,43,2,1,0.081955,1,36
1,0.71706,8,0.09984,44,2,1,0.081955,2,5
1,0.54199,10,NaN,44,2,0,0.081955,1,47
1,0.67868,8,0.089868,45,2,1,0.078391,2,55
0,0.80569,8,0.089957,45,2,1,0.078391,1,69
1,0.75446,8,0.099916,46,2,1,0.081955,2,59
1,0.60521,9,0.099838,46,1,1,0.081955,1,47
1,0.59825,9,0.1,47,1,1,0.081955,1,57
1,0.67303,8,0.08996,47,1,1,0.078391,2,33
1,0.59391,10,NaN,48,1,0,0.078391,2,60
1,0.85481,8,0.090122,48,2,1,0.078391,2,43
1,0.82947,8,0.089954,49,1,1,0.074828,2,52
1,0.63825,8,0.089964,49,2,1,0.074828,2,39
1,0.72292,8,0.089826,50,1,1,0.074828,2,57
1,0.55191,9,0.089961,50,1,1,0.071265,1,36
0,0.70673,9,0.089927,51,1,1,0.071265,2,59
1,0.61552,9,0.08981,51,1,1,0.074828,1,6
1,0.62649,10,NaN,52,1,0,0.074828,2,19
1,0.60931,9,0.089912,52,1,1,0.074828,1,40
1,0.67004,10,NaN,53,1,0,0.071265,2,73
1,0.76503,8,0.090069,53,2,1,0.071265,2,29
1,0.67365,10,NaN,54,1,0,0.071265,1,53
0,0.66402,8,0.079542,54,2,1,0.067702,1,23
1,0.76941,8,0.089923,55,2,1,0.071265,2,65
0,0.88418,8,0.090061,55,2,1,0.071265,1,72
0,0.68468,9,0.089531,56,2,1,0.074828,2,18
0,0.75797,8,0.090211,56,2,1,0.078391,1,18
1,0.78073,8,0.099978,57,2,1,0.081955,2,1
1,0.63953,9,0.10003,57,1,1,0.081955,1,44
0,1.0743,9,0.099896,58,1,1,0.081955,2,1
1,0.55438,10,NaN,58,2,0,0.085518,2,57
1,0.64605,9,0.099985,59,1,1,0.085518,1,24
1,0.79284,8,0.10037,59,1,1,0.085518,2,26
1,0.62973,9,0.0999,60,1,1,0.081955,1,35
0,0.67655,9,0.099994,60,2,1,0.081955,2,67
1,0.82336,10,NaN,61,2,0,0.085518,2,67
1,0.57808,9,0.099819,61,1,1,0.085518,1,26
1,0.76703,9,0.099934,62,2,1,0.085518,1,20
1,0.42185,10,NaN,62,1,0,0.081955,1,74
1,0.66672,9,0.099947,63,2,1,0.081955,1,25
1,0.63145,9,0.099847,63,1,1,0.081955,1,14
1,0.59834,9,0.089909,64,1,1,0.078391,1,67
1,0.61308,8,0.089994,64,2,1,0.078391,2,58
1,0.938,8,0.089943,65,1,1,0.078391,2,18
1,0.54667,9,0.089921,65,1,1,0.074828,1,75
0,0.67159,9,0.089843,66,1,1,0.074828,2,11
1,0.61033,10,NaN,66,2,0,0.078391,1,51
1,0.83135,8,0.090084,67,2,1,0.078391,2,72
1,0.80009,8,0.089859,67,2,1,0.078391,2,45
1,0.44298,10,NaN,68,2,0,0.07661,2,29
1,0.63384,9,0.090053,68,1,1,0.07661,1,29
1,0.75863,8,0.090573,69,1,1,0.07661,2,22
1,0.89335,9,0.089895,69,2,1,0.074828,1,30
1,0.72639,9,0.090013,70,1,1,0.074828,1,34
0,0.63497,9,0.089922,70,1,1,0.074828,2,17
1,0.6619,9,0.089882,71,1,1,0.07661,1,28
1,0.96469,8,0.089952,71,2,1,0.07661,2,66
1,0.7335,10,NaN,72,2,0,0.07661,1,29
NaN,NaN,NaN,NaN,72,2,0,0.074828,1,66
