correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
NaN,NaN,NaN,NaN,51,2,0,0.25,1,63
NaN,NaN,NaN,NaN,52,1,0,0.25,2,33
NaN,NaN,NaN,0.25984,52,2,1,0.25,2,52
NaN,NaN,NaN,0.25995,53,1,1,0.25,2,14
NaN,NaN,NaN,0.25975,53,1,1,0.25,1,62
NaN,NaN,NaN,NaN,54,2,0,0.25,2,73
NaN,NaN,NaN,0.25998,54,1,1,0.25,1,30
NaN,NaN,NaN,0.25985,55,2,1,0.25,2,17
NaN,NaN,NaN,0.25985,55,2,1,0.25,2,28
NaN,NaN,NaN,0.25984,56,2,1,0.25,1,44
NaN,NaN,NaN,0.25976,56,1,1,0.25,1,17
NaN,NaN,NaN,0.25976,57,2,1,0.25,2,66
NaN,NaN,NaN,0.25983,57,1,1,0.25,2,59
NaN,NaN,NaN,0.26,58,2,1,0.25,1,60
NaN,NaN,NaN,0.25989,58,2,1,0.25,1,80
NaN,NaN,NaN,0.25989,59,1,1,0.25,1,4
NaN,NaN,NaN,0.25989,59,1,1,0.25,1,64
NaN,NaN,NaN,0.25989,60,2,1,0.25,1,35
NaN,NaN,NaN,0.2599,60,2,1,0.25,1,49
NaN,NaN,NaN,0.25989,61,1,1,0.25,2,51
NaN,NaN,NaN,0.25987,61,1,1,0.25,2,70
NaN,NaN,NaN,0.25987,62,1,1,0.25,1,70
NaN,NaN,NaN,0.25986,62,2,1,0.25,2,5
NaN,NaN,NaN,NaN,63,1,0,0.25,2,29
NaN,NaN,NaN,0.25985,63,2,1,0.25,1,22
NaN,NaN,NaN,NaN,64,2,0,0.25,2,7
NaN,NaN,NaN,0.2598,64,2,1,0.25,2,54
NaN,NaN,NaN,0.25984,65,2,1,0.25,2,5
NaN,NaN,NaN,0.25976,65,1,1,0.25,1,53
NaN,NaN,NaN,NaN,66,2,0,0.25,1,12
NaN,NaN,NaN,0.25951,66,1,1,0.25,1,13
NaN,NaN,NaN,0.25983,67,2,1,0.25,2,69
NaN,NaN,NaN,0.25996,67,2,1,0.25,1,64
NaN,NaN,NaN,NaN,68,2,0,0.25,2,38
NaN,NaN,NaN,0.2599,68,1,1,0.25,2,40
NaN,NaN,NaN,0.25976,69,2,1,0.25,2,70
NaN,NaN,NaN,0.25982,69,1,1,0.25,1,46
NaN,NaN,NaN,0.25987,70,1,1,0.25,2,70
NaN,NaN,NaN,0.2598,70,1,1,0.25,2,11
NaN,NaN,NaN,0.25989,71,2,1,0.25,2,12
NaN,NaN,NaN,0.25977,71,2,1,0.25,2,44
NaN,NaN,NaN,0.25983,72,2,1,0.25,1,29
NaN,NaN,NaN,NaN,72,1,0,0.25,2,24
